Be_star,Type,RA,DEC,Xcat,Gamma,e_Gamma,E_Gamma,Fb,e_Fb,E_Fb,Fs,e_Fs,E_Fs,Fm,e_Fm,E_Fm,Fh,e_Fh,E_Fh,HRms,e_HRms,E_HRms,HRhm,e_HRhm,E_HRhm,DR3Name,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,epsi,sepsi,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Teff,Gflux,e_Gflux,E_Gflux,distance,e_distance,E_distance,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,LX,e_LX,E_LX,fX2O,e_fX2O,E_fX2O,matching_flag,Class,ref
RX J0048.5-7302,Be,12.14218198857,-73.04203573372,CXO,0.7182999849319458,1.0,0.7837299704551697,2.9999999999999997e-20,0.0,4.093248391944511e-15,1e-20,0.0,5.774598304076601e-16,1e-20,0.0,3.3753461849929004e-16,1e-20,0.0,4.0382289340423e-15,0.0,,,0.0,,,Gaia DR3 4685949198438263040,-0.0328,0.0282,0.814,0.038,-1.202,0.031032313,0.235,15.97,0.993,14.78418,0.003112,14.783821,0.004885,14.66787,0.005961,31470.0,1.2360652519506972e-11,3.542881822686837e-14,3.542881822686837e-14,19029.1699,4584.9277,5826.865299999998,14.703,0.046,14.622,0.053,14.437,0.075,14.116,0.03,13.827,0.032,12.777,,9.34,,1.3000577649592028e+27,6.264772335824841e+26,1.773819785302612e+32,2.427056334821764e-09,6.9565694510923306e-12,0.00033115148132226423,0,HMXB,SIMBAD
RX J0049.2-7311,Be,12.30678073466,-73.19385822658,CXO,1.23578,0.1166800000000001,0.1217199999999998,2.2655606760380691e-13,8.26381057486024e-15,7.768095055068504e-15,6.1156454173399e-15,9.648166620303004e-16,9.648166620302996e-16,2.1057212853247e-14,1.3155499283840017e-15,1.3155499283829985e-15,1.9938320933322e-13,8.101174137849986e-15,7.594850754240003e-15,0.5498710252384642,0.06851672863797002,0.06851672863795183,0.808953252362808,0.046757554481065014,0.046149202555610176,Gaia DR3 4685944907831053184,0.0056,0.0367,0.5,0.046,-1.244,0.04306654,0.0,0.0,0.992,16.404427,0.002906,16.492868,0.005837,16.216297,0.005369,30095.9,2.779345887662043e-12,7.438988507659805e-15,7.438988507659805e-15,11068.458,2448.32128,4527.083999999999,16.106,0.09,15.858,0.17,15.884,,15.186,0.014,15.162,0.023,,,,,3.321633013439339e+33,1.4744638211976426e+33,2.719532501220952e+33,0.08151416799525572,0.0029812872043960595,0.002803438926030306,0,HMXB,SIMBAD
RX J0049.5-7310,Be,12.3742120057,-73.18292105745,CXO,0.895418,0.119778,0.1247819999999999,3.4088663580319614e-13,1.3870828412080442e-14,1.3021635496355114e-14,6.6978176116432005e-15,1.2312191428733e-15,1.1587944874102004e-15,2.7463462390203e-14,1.930002035977e-15,1.930002035977e-15,3.0672535580135e-13,1.3680609357800002e-14,1.2825571272930023e-14,0.607870805117301,0.07711768164423242,0.07842366284822441,0.8356410454495742,0.05254496261672102,0.05195909870749938,Gaia DR3 4685944942190772224,-0.0047,0.115,1.519,0.143,-0.803,0.13241014,1.32,143.8,3.31,16.201807,0.003264,16.221954,0.005059,15.949686,0.006047,19986.9,3.3495818743695416e-12,1.0069697584025714e-14,1.0069697584025714e-14,5506.32373,1410.35547,4175.75049,15.586,0.106,15.294,0.109,15.012,0.164,14.529,0.015,14.39,0.015,,,,,1.2369016387406007e+33,6.356203326810164e+32,1.876617044661247e+33,0.10176990698797528,0.004152349101138287,0.003899560870006768,0,HMXB,SIMBAD
RX J0049.7-7323,B2Ve,12.42504076091,-73.3874154799,CXO,2.02198,0.2393800000000001,0.2589199999999998,3.65394428796106e-14,2.6802340434657068e-15,2.6766467015001946e-15,1.9918265552461002e-15,3.983653110491999e-16,3.7346747910870012e-16,6.3152514844405e-15,6.460546935216001e-16,6.460546935216001e-16,2.8232364839923998e-14,2.570519974574e-15,2.570519974573e-15,0.5204507419503561,0.1012690913911781,0.10300162963928049,0.6344030554729354,0.09085528396990084,0.09085528396988665,Gaia DR3 4685927315640017792,-0.0301,0.0199,0.53,0.022,-1.209,0.024657179,0.09,2.317,1.035,14.796638,0.004103,14.840578,0.008287,14.654923,0.011583,32368.3,1.2219633988345715e-11,4.617802928046557e-14,4.617802928046557e-14,22524.3223,5360.0137,5656.382799999999,14.551,0.039,14.482,0.062,14.303,0.072,13.726,0.031,13.583,0.032,12.848,,9.249,,2.2185391390400742e+33,1.0683388522818993e+33,1.126043136623839e+33,0.0029902240046190847,0.00021962921480472711,0.00021933603218423706,0,HMXB,SIMBAD
DZ Tuc,Be,12.68629359142,-73.26818072762,CXO,0.890331,0.064891,0.066139,4.1007464762065596e-13,1.062116796029936e-14,1.0020468985310438e-14,1.5959001742418e-14,1.1773828218409985e-15,1.1773828218400012e-15,3.7660337699568e-14,1.6835096513469986e-15,1.6835096513460017e-15,3.5645530817867e-13,1.0420593734790014e-14,9.807617632750032e-15,0.4047296401446718,0.04133305087085775,0.041333050870857445,0.8088868681391901,0.03368188609354416,0.033269698659201735,Gaia DR3 4685928999266932864,-0.0248,0.0245,0.679,0.028,-1.278,0.030714652,0.064,0.7221,0.987,15.345635,0.003619,15.346321,0.0074,15.291616,0.007578,29222.2,7.369862712331967e-12,2.4565389860855775e-14,2.4565389860855775e-14,23639.7656,7990.908199999998,15643.4219,15.296,0.045,15.299,0.1,14.806,0.113,14.592,0.03,14.367,0.04,12.763,,9.187,,2.7425273028243355e+34,1.8554635008646083e+34,3.6303087155798458e+34,0.055642101301897985,0.0014530474292451083,0.0013722460711950283,0,HMXB,SIMBAD
SMC 25,Be,12.9667809195,-73.17615541879,CXO,1.05488,0.0500800000000001,0.05122,5.79713457267657e-13,1.9957080545558377e-14,1.995708054555842e-14,7.1651962123379e-14,5.4129043455159956e-15,5.412904345516009e-15,6.8430614320308e-14,3.79651289475901e-15,3.7965128947589976e-15,4.3963088082397e-13,1.8830082853989973e-14,1.8830082853990023e-14,-0.02299606335671567,0.0472102394850568,0.04721023948505667,0.7306207418813534,0.04682455910590724,0.04682455910590728,Gaia DR3 4685938413838450688,-0.0247,0.0178,0.643,0.022,-1.215,0.020674141,0.11,5.039,1.037,14.335338,0.00285,14.31789,0.003066,14.295343,0.004143,37563.4,1.868866149504165e-11,4.905674603780398e-14,4.905674603780398e-14,27128.6328,6954.845699999998,7430.914100000002,14.432,0.033,14.448,0.051,14.171,0.072,13.731,0.03,13.558,0.031,12.461,,9.477,,5.105883530150112e+34,2.6238391079689245e+34,2.802664046653572e+34,0.03101952793256289,0.0010709708420165128,0.0010709708420165152,0,HMXB,SIMBAD
2E 0050.1-7247,Be,12.97140906573,-72.530206451,CXO,1.44646,0.27316,0.29894,2.9456226871292003e-14,3.3467080190428252e-15,3.3383231133935033e-15,2.1731608378626e-15,7.7349792534090025e-16,7.7349792534090025e-16,4.2694109139624e-15,6.5946699858180055e-16,6.155025320096e-16,2.3013655119467e-14,3.1886139311620004e-15,3.1886139311620004e-15,0.32537473494276425,0.1654828828402739,0.1617933626516574,0.6870285100119483,0.14441354327548483,0.144796819286168,Gaia DR3 4688984061034529408,0.0078,0.031,0.641,0.038,-1.332,0.03641737,0.282,22.63,1.279,14.86245,0.005819,14.718246,0.014218,14.968932,0.023374,29610.9,1.1500941589726573e-11,6.163926266558243e-14,6.163926266558243e-14,13345.4316,3386.836869999999,4191.1387,14.468,0.032,14.259,0.04,14.258,0.064,14.334,0.029,14.258,0.039,12.921,,8.516,0.262,6.2783290136861755e+32,3.265521081597479e+32,4.007102791657356e+32,0.0025612013278638263,0.00029131784129511146,0.0002905895905883325,0,HMXB,SIMBAD
X SMC X-3,O9IVe,13.02344958455,-72.43451356928,CXO,0.7684999704360962,0.0286270007491111,0.0293499995023012,5.9940164549553104e-15,2.3385529362883676e-15,2.2477918174914762e-15,1.3171534343028e-15,6.2721592109656035e-16,6.272159210966e-16,6.9385047018141e-16,3.6518445799022e-16,3.4692523509068993e-16,3.9830125504711e-15,2.2230767723559004e-15,2.1304485735079e-15,-0.3099461730191206,0.37743437428987753,0.3735644674351897,0.703283817756713,0.5803465948828784,0.5730384513862739,Gaia DR3 4688985847741087744,-0.0401,0.0207,0.775,0.024,-1.255,0.026641363,0.105,3.188,1.029,14.810769,0.003035,14.805577,0.005241,14.744729,0.00966,19946.8,1.2061624328016044e-11,3.3716320479230665e-14,3.3716320479230665e-14,25974.2832,7636.3027,8398.091799999998,14.82,0.029,14.614,0.053,14.449,0.082,14.378,0.03,14.246,0.038,12.9,0.484,9.226,,4.839570057502101e+32,3.415060086880752e+32,3.617659932686102e+32,0.0004969493570640196,0.00019388872479045673,0.0001863641416357517,0,HMXB,SIMBAD
2E 0050.4-7335,Be,13.05832548551,-73.32189778066,CXO,1.3919999599456787,0.023879999294877,0.0272199995815753,1.0790648109720902e-15,3.9681876067310053e-16,9.720062563905512e-16,6.304375661221803e-16,3.0878574667208995e-16,2.959196738940901e-16,4.4861724484991e-16,2.4923180269439e-16,2.492318026944e-16,1e-20,0.0,8.9169009055304e-16,-0.16849961598194754,0.3636008800594992,0.372930635511825,-0.9999554195599364,2.137151809150868,2.1372342130035147,Gaia DR3 4685885980866646656,-0.0646,0.017,0.651,0.021,-1.192,0.018676883,0.0,0.0,0.916,14.569972,0.003252,14.611802,0.007837,14.445728,0.005046,37632.0,1.505651973717362e-11,4.509732840326194e-14,4.509732840326194e-14,38760.6641,10416.0645,29266.6953,14.4,0.032,14.253,0.053,14.107,0.065,13.639,0.025,13.407,0.027,12.41,0.365,8.978,,1.9401336863027564e+32,1.2634626638836631e+32,3.411485585769571e+32,7.166761175943904e-05,2.635615198501575e-05,6.45575236996366e-05,0,HMXB,SIMBAD
2E 0051.1-7214,Be,13.2302834951,-71.96841874201,XMM,0.8792999982833862,0.1634200066328048,0.1892800033092498,1.2684567519177013e-12,7.729161478447812e-13,7.839308808296562e-13,7.565034267068477e-14,2.0136385387154947e-14,1.9795799176803542e-14,1.1336937092787969e-13,4.8923462946651504e-14,4.7923259174107546e-14,1.0794370383191368e-12,7.711033603584303e-13,7.822142375867648e-13,0.1995507639869865,0.28452788785551625,0.2806220077745612,0.8099115329210103,0.8382569777942436,0.8408096235484693,Gaia DR3 4689080337014302336,-0.077,0.0261,0.703,0.033,-1.228,0.03208959,0.0,0.0,0.933,15.465887,0.003031,15.457437,0.005681,15.42253,0.004763,33641.6,6.5971840116305236e-12,1.841705623485832e-14,1.841705623485832e-14,28407.5859,8336.037099999998,11642.0625,15.375,0.049,15.156,0.082,14.952,0.127,14.713,0.029,14.559,0.041,12.893,,9.337,,1.2250280390928223e+35,1.0363822638491898e+35,1.2575288945401221e+35,0.19227245286496056,0.11715972423162406,0.11882931825727872,0,HMXB,SIMBAD
