#,Be star,_RAJ2000,_DEJ2000,V,Type,vsini,conf_flag,_q_x,Source,_r,RA_ICRS,DE_ICRS,DR3Name,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,epsi,sepsi,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Teff,Pstar,SpType-ELS,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,BP-RP,abs_BPmag,gaia_conf,RA,DEC,_q_y,_r_CSC,r0,_2CXO,S_N,HRhm,HRhs,HRms,Fluxh,B_Fluxh,b_Fluxh,Fluxm,B_Fluxm,b_Fluxm,Fluxs,B_Fluxs,b_Fluxs,Fluxu,B_Fluxu,b_Fluxu,GamPL,B_GamPL,b_GamPL,NHPL,_r_XMM,ePos,_4XMM,srcML,Flux1,e_Flux1,Flux2,e_Flux2,Flux3,e_Flux3,Flux4,e_Flux4,Flux5,e_Flux5,Flux8,e_Flux8,Flux9,e_Flux9,HR1,e_HR1,HR2,e_HR2,HR3,e_HR3,HR4,e_HR4,_r_XRT,Err90,_2SXPS,Det,CR0,E_CR0,e_CR0,HR1_XRT,HR2_XRT,CR1,e_CR1,CR2,E_CR2,e_CR2,CR3,E_CR3,e_CR3,PcstS0,FPO0,E_FPO0,e_FPO0,FPU0,Gam1,E_Gam1,e_Gam1,Flag,X_pos,_RAJ2000_X,_DEJ2000_X,Flux_s,E_Flux_s,e_Flux_s,Flux_m,E_Flux_m,e_Flux_m,Flux_h,E_Flux_h,e_Flux_h,X_flux,Gamma,E_Gamma,e_Gamma,index_X,_q,conf_flag_X2O
43,RX J0048.5-7302,12.14217,-73.04203,14.84,Be,,0,43.0,4.685949198438263e+18,0.024,12.14218198857,-73.04203573372,Gaia DR3 4685949198438263040,-0.0328,0.0282,-1.164,1.451,0.814,0.038,-1.202,0.031032313,0.235,15.97,0.993,14.78418,0.003112,14.783821,0.004885,14.66787,0.005961,31470.0,0.9999266,B,19029.1699,14444.2422,24856.0352,16394.4062,11669.7773,22842.5352,0.115950999999999,-1.6132782184418168,1.0,12.14218198857,-73.04203573372,43.0,0.577,1.013,J004834.0-730230,12.356,,,,1e-20,4.0382389340423e-15,1e-20,1e-20,3.3754461849929e-16,1e-20,1e-20,5.7746983040766e-16,1e-20,0.0,1.5624218445047e-13,0.0,,,,,1.272,0.661931,J004834.1-730232,439.263,1.74234e-17,7.28822e-17,2.90741e-16,1.94038e-16,2.3864e-15,4.54632e-16,8.53162e-15,1.37857e-15,1.35871e-14,6.41031e-15,2.50865e-14,6.59947e-15,8.41635e-15,9.87163e-16,0.929914,0.0957624,0.426405,0.082143,0.121537,0.0697561,-0.141977,0.0915074,1.71,2.4,52922.0,0.0,0.00111,0.000252,-0.000252,0.499,0.336,5.89e-05,-5.89e-05,0.000308,0.000132,-0.000132,0.000648,0.000188,-0.000188,5.79e-09,9.325e-14,2.1136e-14,-2.1136e-14,9.57e-14,0.7183,0.78373,1.0,CXO+XMM+XRT,CXO,12.141821385,-73.041914941,4.2075060480794804e-16,5.65195783058971e-16,5.53250094923334e-16,1.9474831550848338e-15,3.8832948543636535e-15,3.75759690641724e-15,9.850704199960167e-15,3.371129774968242e-14,3.465855840734438e-14,XMM,0.7182999849319458,0.7837299704551697,1.0,1,1.0,1.0
48,RX J0049.2-7311,12.306773,-73.193853,16.51,Be,,0,48.0,4.685944907831053e+18,0.02,12.30678073466,-73.19385822658,Gaia DR3 4685944907831053184,0.0056,0.0367,0.1525,1.341,0.5,0.046,-1.244,0.04306654,0.0,0.0,0.992,16.404427,0.002906,16.492868,0.005837,16.216297,0.005369,30095.9,5.548e-05,B,11068.458,8620.13672,15595.542,9067.24121,8236.38379,9871.73828,0.2765710000000005,1.272432392777679,0.0,12.30678073466,-73.19385822658,48.0,0.235,0.733,J004913.5-731137,31.828,0.53841,0.76452,0.38226,1.9938320933322e-13,2.0697806008746e-13,1.9128203519537e-13,2.1057212853247e-14,2.237276278163e-14,1.9741662924863e-14,6.1156454173399e-15,7.0804620793702e-15,5.1508287553096e-15,0.0,1.1969563273338e-14,0.0,1.23578,1.3575,1.1191,79.8939,0.166,0.329107,J004913.5-731137,2604.56,9.64714e-17,1.06254e-16,2.10661e-15,3.05596e-16,2.55486e-14,9.58774e-16,1.02287e-13,3.241e-15,2.34437e-13,1.23918e-14,3.58803e-13,1.29497e-14,8.79364e-14,2.10977e-15,0.944462,0.0637541,0.837244,0.0220778,0.18043,0.0233216,-0.155056,0.0266309,1.29,1.3,25781.0,0.0,0.0072,0.000378,-0.000378,0.785,0.489,0.000109,-9.09e-05,0.00169,0.000177,-0.000177,0.00518,0.000304,-0.000304,0.364,5.861e-13,3.0722e-14,-3.0722e-14,7.28e-13,0.716,0.36478,-0.19207,CXO+XMM+XRT,CXO,12.306609203,-73.193815843,6.1156454173399e-15,9.648166620302996e-16,9.648166620303004e-16,2.1057212853247e-14,1.3155499283829983e-15,1.3155499283840017e-15,1.9938320933322e-13,7.594850754240003e-15,8.101174137849986e-15,CXO,1.23578,0.12171999999999983,0.11668000000000012,2,2.0,0.0
50,RX J0049.5-7310,12.374212,-73.182921,16.51,Be,,0,50.0,4.685944942190772e+18,0.0,12.3742120057,-73.18292105745,Gaia DR3 4685944942190772224,-0.0047,0.115,-0.0407,1.718,1.519,0.143,-0.803,0.13241014,1.32,143.8,3.31,16.201807,0.003264,16.221954,0.005059,15.949686,0.006047,19986.9,2.3e-06,,5506.32373,4095.96826,9682.07422,3487.76782,2732.50659,3959.38037,0.2722680000000004,2.517645294880886,0.0,12.3742120057,-73.18292105745,50.0,0.289,0.726,J004929.7-731058,34.764,0.55715,0.78826,0.40974,3.0672535580135e-13,3.1955092707428e-13,2.9304474644355e-13,2.7463462390203e-14,2.939346442618e-14,2.5533460354226e-14,6.6978176116432e-15,7.8566120990534e-15,5.4665984687699e-15,1.537643632154e-13,2.5778143244934e-13,4.9747293981452e-14,0.895418,1.0202,0.77564,59.0719,0.517,0.446497,J004929.8-731059,1027.76,5.31504e-17,1.03501e-16,1.55887e-15,3.33536e-16,9.83815e-15,7.34435e-16,3.64096e-14,2.29448e-15,8.77427e-14,9.49533e-15,1.28363e-13,9.82284e-15,3.57063e-14,1.66269e-15,0.812339,0.106445,0.83831,0.0311373,0.160038,0.0352724,-0.107034,0.0419858,0.89,1.2,26395.0,0.0,0.0129,0.000523,-0.000523,0.707,0.532,0.000329,-0.000114,0.00273,0.000234,-0.000234,0.00936,0.000432,-0.000432,2.48e-06,1.179e-12,4.772e-14,-4.772e-14,1.31e-12,0.3845,0.14882,-0.15587,CXO+XMM+XRT,CXO,12.374059827,-73.182853791,6.6978176116432e-15,1.1587944874102004e-15,1.2312191428733e-15,2.7463462390203e-14,1.9300020359769993e-15,1.9300020359769993e-15,3.0672535580135e-13,1.2825571272930023e-14,1.3680609357800002e-14,CXO,0.895418,0.12478199999999995,0.11977800000000005,3,3.0,0.0
52,RX J0049.7-7323,12.424958333333333,-73.38741944444445,14.98,B2Ve,,0,52.0,4.685927315640018e+18,0.086,12.42504076091,-73.3874154799,Gaia DR3 4685927315640017792,-0.0301,0.0199,-1.5117,1.32,0.53,0.022,-1.209,0.024657179,0.09,2.317,1.035,14.796638,0.004103,14.840578,0.008287,14.654923,0.011583,32368.3,0.999936,O,22524.3223,17164.3086,28180.7051,27205.6895,18131.4688,34078.1172,0.1856550000000005,-1.9226806651149813,1.0,12.42504076091,-73.3874154799,52.0,0.038,0.728,J004942.0-732314,58.367,0.30106,0.54841,0.29482,2.8232364839924e-14,3.0802884814497e-14,2.566184486535e-14,6.3152514844405e-15,6.9613061779621e-15,5.6691967909189e-15,1.9918265552461e-15,2.3652940343548e-15,1.5934612441969e-15,0.0,8.8577283409901e-16,0.0,2.02198,2.2809,1.7826,82.7318,0.989,0.437499,J004942.2-732314,10977.6,9.75683e-16,2.76931e-16,5.07373e-15,5.37789e-16,4.5532e-14,1.61832e-15,1.14009e-13,4.33178e-15,5.58527e-13,2.46015e-14,7.60512e-13,2.51231e-14,1.36572e-13,3.28813e-15,0.781369,0.0406216,0.672771,0.0182669,0.141023,0.0167773,-0.024442,0.0186957,1.4,1.2,23322.0,0.0,0.0461,0.0012,-0.0012,0.657,0.481,0.0017,-0.000259,0.0104,0.000545,-0.000545,0.0296,0.000914,-0.000914,0.0,4.243e-12,1.1079e-13,-1.1079e-13,4.66e-12,0.4693,0.090801,-0.092643,CXO+XMM+XRT,CXO,12.42500346,-73.387415107,1.9918265552461e-15,3.7346747910870017e-16,3.9836531104919985e-16,6.3152514844405e-15,6.460546935216e-16,6.460546935216e-16,2.8232364839924e-14,2.5705199745729997e-15,2.570519974574e-15,CXO,2.02198,0.2589199999999998,0.23938000000000015,4,4.0,1.0
60,DZ Tuc,12.686208333333331,-73.2681,15.44,Be,,0,60.0,4.685928999266933e+18,0.304,12.68629359142,-73.26818072762,Gaia DR3 4685928999266932864,-0.0248,0.0245,-1.0117,1.448,0.679,0.028,-1.278,0.030714652,0.064,0.7221,0.987,15.345635,0.003619,15.346321,0.0074,15.291616,0.007578,29222.2,4.993e-05,O,23639.7656,15648.8574,39283.1875,10989.6455,9595.06348,14631.5654,0.0547050000000002,-1.5218948299269606,0.0,12.68629359142,-73.26818072762,60.0,0.185,0.71,J005044.6-731605,66.336,0.52467,0.64085,0.17489,3.5645530817867e-13,3.6626292581142e-13,3.4603471444388e-13,3.7660337699568e-14,3.9343847350914e-14,3.5976828048221e-14,1.5959001742418e-14,1.7136384564258e-14,1.4781618920577e-14,2.6417862020065e-14,4.0452351218224e-14,1.1557814633778e-14,0.890331,0.95647,0.82544,29.4956,0.019,0.369138,J005044.7-731605,6693.44,8.74962e-16,1.88117e-16,1.24165e-14,6.04057e-16,5.70257e-14,1.31247e-15,2.05637e-13,4.15008e-15,6.95619e-13,2.05574e-14,9.69037e-13,2.10611e-14,1.94001e-13,2.83623e-15,0.850844,0.0269426,0.628668,0.0161802,0.120864,0.0147305,-0.073112,0.0172654,0.58,1.2,24913.0,0.0,0.018,0.000734,-0.000734,0.594,0.461,0.000777,-0.000187,0.00434,0.00035,-0.00035,0.0122,0.000586,-0.000586,0.0471,1.507e-12,6.1526e-14,-6.1526e-14,1.64e-12,0.4513,0.13371,-0.13956,CXO+XMM+XRT,CXO,12.686215047,-73.268134447,1.5959001742418e-14,1.1773828218400012e-15,1.1773828218409983e-15,3.7660337699568e-14,1.6835096513460015e-15,1.6835096513469986e-15,3.5645530817867e-13,9.807617632750032e-15,1.0420593734790014e-14,CXO,0.890331,0.06613900000000006,0.06489100000000003,5,5.0,0.0
66,SMC 25,12.966708333333331,-73.1761,14.45,Be,,0,66.0,4.685938413838451e+18,0.213,12.9667809195,-73.17615541879,Gaia DR3 4685938413838450688,-0.0247,0.0178,-1.3862,1.375,0.643,0.022,-1.215,0.020674141,0.11,5.039,1.037,14.335338,0.00285,14.31789,0.003066,14.295343,0.004143,37563.4,4.993e-05,O,27128.6328,20173.7871,34559.5469,18071.3828,13905.2061,22709.0586,0.0225469999999994,-2.849249536007127,0.0,12.9667809195,-73.17615541879,66.0,0.306,0.715,J005152.0-731034,50.777,0.35228,0.19613,-0.1674,4.3963088082397e-13,4.5846096367796e-13,4.2080079796998e-13,6.8430614320308e-14,7.2227127215067e-14,6.4634101425549e-14,7.1651962123379e-14,7.7064866468895e-14,6.6239057777863e-14,1.0331558847326e-12,1.4896666244982e-12,5.7664514496704e-13,1.05488,1.1061,1.0048,3.41153e-06,0.289,0.359737,J005152.0-731033,44734.8,1.67824e-14,7.23706e-16,8.16662e-14,1.58246e-15,1.69244e-13,2.38365e-15,4.47806e-13,6.55794e-15,1.16929e-12,2.3304e-14,1.8916e-12,2.45248e-14,5.78084e-13,5.19251e-15,0.664199,0.0130507,0.297753,0.01052,-0.034882,0.00986319,-0.193246,0.0114051,1.31,1.3,46407.0,0.0,0.0701,0.0035,-0.0035,0.332,0.185,0.00985,-0.00129,0.0217,0.00183,-0.00183,0.0319,0.00226,-0.00226,0.00294,4.4e-12,2.1977e-13,-2.1977e-13,4.57e-12,1.002,0.13672,1.0,CXO+XMM+XRT,CXO,12.966978554,-73.17621813,7.1651962123379e-14,5.412904345516009e-15,5.412904345515996e-15,6.8430614320308e-14,3.7965128947589976e-15,3.79651289475901e-15,4.3963088082397e-13,1.8830082853990023e-14,1.8830082853989973e-14,CXO,1.05488,0.05122000000000004,0.050080000000000124,6,6.0,1.0
67,2E 0050.1-7247,12.971541666666663,-72.53013888888889,14.87,Be,,0,67.0,4.68898406103453e+18,0.282,12.97140906573,-72.530206451,Gaia DR3 4688984061034529408,0.0078,0.031,0.2529,1.479,0.641,0.038,-1.332,0.03641737,0.282,22.63,1.279,14.86245,0.005819,14.718246,0.014218,14.968932,0.023374,29610.9,0.99999785,B,13345.4316,9958.59473,17536.5703,11738.6992,9178.63086,15605.7158,-0.2506859999999999,-0.908417118593416,1.0,12.97140906573,-72.530206451,67.0,0.213,0.966,J005153.0-723148,11.609,0.37102,0.37726,0.0,2.3013655119467e-14,2.6202269050629e-14,1.9825041188305e-14,4.2694109139624e-15,4.884913445972e-15,3.6099439153806e-15,2.1731608378626e-15,2.9466587632035e-15,1.3996629125217e-15,0.0,1.4948710414524e-14,0.0,1.44646,1.7454,1.1733,30.0127,2.764,1.061133,J005153.2-723146,25.815,5.69137e-16,2.11629e-16,1.94163e-15,3.49138e-16,4.45625e-16,2.17477e-16,2.96218e-16,4.0824e-16,1.4873e-15,2.60924e-15,6.94857e-15,2.87977e-15,3.08548e-15,6.41701e-16,0.495981,0.12058,-0.495421,0.128561,-0.629289,0.230321,0.461823,0.396909,1.67,1.0,16639.0,0.0,0.0597,0.00105,-0.00105,0.208,0.22,0.011,-0.000459,0.017,0.000551,-0.000551,0.0276,0.000716,-0.000716,0.0,3.715e-12,6.514e-14,-6.514e-14,3.73e-12,,,,CXO+XMM+XRT,CXO,12.971246288,-72.53023991,2.1731608378626e-15,7.734979253409e-16,7.734979253409002e-16,4.2694109139624e-15,6.155025320095997e-16,6.594669985818003e-16,2.3013655119467e-14,3.1886139311620004e-15,3.1886139311620004e-15,CXO,1.44646,0.29894,0.27316000000000007,7,7.0,1.0
69,X SMC X-3,13.02345,-72.434514,14.91,O9IVe,,0,69.0,4.688985847741088e+18,0.002,13.02344958455,-72.43451356928,Gaia DR3 4688985847741087744,-0.0401,0.0207,-1.9391,1.475,0.775,0.024,-1.255,0.026641363,0.105,3.188,1.029,14.810769,0.003035,14.805577,0.005241,14.744729,0.00966,19946.8,4.993e-05,O,25974.2832,18337.9805,34372.375,22625.6289,18232.6758,25884.5879,0.060848,-2.26714085687658,0.0,13.02344958455,-72.43451356928,69.0,0.616,1.248,J005205.6-722603,38.81,0.29357,-0.25359,-0.49969,3.9830125504711e-15,6.113461123979e-15,1.7599357781152e-15,6.9385047018141e-16,1.0407757052721e-15,3.2866601219119e-16,1.3171534343028e-15,1.9443693553994e-15,6.8993751320624e-16,0.0,9.1662836889923e-15,0.0,,,,,2.712,0.258307,J005205.3-722606,12066.4,2.87845e-15,3.16962e-16,2.11289e-14,8.13416e-16,7.84533e-14,1.59622e-15,2.68772e-13,4.99254e-15,7.25605e-13,2.04571e-14,1.09893e-12,2.1198e-14,2.66716e-13,3.45397e-15,0.724602,0.0207005,0.505443,0.0134838,0.079801,0.0118778,-0.211565,0.013768,1.1,1.0,5225.0,0.0,0.0623,0.000568,-0.000568,0.603,0.355,0.00433,-0.000154,0.018,0.000302,-0.000302,0.0378,0.000437,-0.000437,0.0,4.819e-12,4.3956e-14,-4.3956e-14,5.18e-12,0.7685,0.02935,-0.028627,CXO+XMM+XRT,CXO,13.023399149,-72.434343041,1.3171534343028e-15,6.272159210966e-16,6.272159210965601e-16,6.9385047018141e-16,3.469252350906899e-16,3.6518445799022004e-16,3.9830125504711e-15,2.1304485735078996e-15,2.2230767723559004e-15,CXO,0.7684999704360962,0.029349999502301216,0.028627000749111176,8,8.0,1.0
71,2E 0050.4-7335,13.058291666666666,-73.3219,14.67,Be,,0,71.0,4.685885980866647e+18,0.036,13.05832548551,-73.32189778066,Gaia DR3 4685885980866646656,-0.0646,0.017,-3.8001,1.358,0.651,0.021,-1.192,0.018676883,0.0,0.0,0.916,14.569972,0.003252,14.611802,0.007837,14.445728,0.005046,37632.0,0.9999099,O,38760.6641,28344.5996,68027.3594,32283.7773,22519.4629,46015.2031,0.166074,-3.330154046807809,1.0,13.05832548551,-73.32189778066,71.0,0.225,1.58,J005214.0-731918,5.625,0.34978,-0.08869,-0.41849,1e-20,8.9170009055304e-16,1e-20,4.4861724484991e-16,6.9784904754431e-16,1.9938544215552e-16,6.3043756612218e-16,9.2635724001627e-16,3.2165181945009e-16,0.0,2.2065229071968e-15,0.0,,,,,3.873,0.592589,J005214.7-731916,414.198,7.63752e-17,1.19235e-16,2.16206e-15,3.42567e-16,7.55817e-15,6.35875e-16,1.94166e-14,1.73053e-15,5.85879e-14,9.69194e-15,9.03127e-14,1.00112e-14,2.36509e-14,1.33056e-15,0.901853,0.0957038,0.568484,0.0557266,-0.037746,0.054504,0.01544,0.0723,0.84,1.2,34857.0,0.0,0.467,0.00365,-0.00365,0.645,0.156,0.0379,-0.00102,0.179,0.0024,-0.0024,0.253,0.00276,-0.00276,0.0,2.934e-11,2.2961e-13,-2.2961e-13,3.38e-11,1.392,0.02722,-0.02388,CXO+XMM+XRT,CXO,13.05853852,-73.321910468,6.3043756612218e-16,2.959196738940901e-16,3.0878574667208995e-16,4.4861724484991e-16,2.4923180269439996e-16,2.4923180269439e-16,1e-20,8.9169009055304e-16,1e-20,CXO,1.3919999599456787,0.027219999581575394,0.023879999294877052,9,9.0,0.0
73,2E 0051.1-7214,13.23,-71.9683,15.53,Be,,0,73.0,4.689080337014303e+18,0.532,13.2302834951,-71.96841874201,Gaia DR3 4689080337014302336,-0.077,0.0261,-2.9469,1.415,0.703,0.033,-1.228,0.03208959,0.0,0.0,0.933,15.465887,0.003031,15.457437,0.005681,15.42253,0.004763,33641.6,0.99999785,O,28407.5859,20071.5488,40049.6484,24142.8984,16437.5957,30848.7246,0.0349070000000004,-1.8097346429448875,0.0,13.2302834951,-71.96841874201,73.0,,,,,,,,,,,,,,,,,,,,,,,,1.662,0.423716,J005255.3-715807,20040.7,1.33875e-14,8.39208e-16,5.32856e-14,1.61758e-15,1.40485e-13,2.69977e-15,5.0818e-13,8.65426e-15,1.75821e-12,4.1334e-14,2.49177e-12,4.24654e-14,5.17177e-13,6.10417e-15,0.568221,0.0225223,0.420545,0.0145956,0.122699,0.0125763,-0.094035,0.0142397,1.15,1.2,105304.0,0.0,0.0247,0.00161,-0.00161,0.46,0.264,0.0027,-0.000558,0.00752,0.000881,-0.000881,0.0134,0.00118,-0.00118,0.146,1.762e-12,1.1515e-13,-1.1515e-13,1.82e-12,0.8793,0.18928,-0.16342,XMM+XRT,XMM,13.23061611,-71.96886889,7.565034267068477e-14,1.9795799176803542e-14,2.0136385387154947e-14,1.1336937092787969e-13,4.7923259174107546e-14,4.8923462946651504e-14,1.0794370383191368e-12,7.822142375867648e-13,7.711033603584303e-13,XMM,0.8792999982833862,0.18928000330924988,0.16342000663280487,77,77.0,1.0
