#,Be star,_RAJ2000,_DEJ2000,V,Type,vsini,conf_flag,_q,Source,_r,RA_ICRS,DE_ICRS,DR3Name,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,epsi,sepsi,RUWE,Dist,b_Dist,B_Dist,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Teff,Pstar,SpType-ELS,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,BP-RP,abs_BPmag,gaia_conf,RA,DEC
1,BD+62 2346,0.35291666666666666,63.50436944444444,9.73,B0Ve,,0,1.0,431593257757382912,0.081,0.35290298355,63.50434766899,Gaia DR3 431593257757382912,0.8427,0.0466,18.1021,4.006,0.904,0.047,-3.903,0.04860617,0.477,314.0,3.759,1280.6627,1267.7198,1310.1263,9.334448,0.003012,9.62206,0.004923,8.840662,0.004857,28979.3,0.99996924,B,1169.84424,1116.27844,1233.13123,1153.54578,1099.68982,1221.59338,0.7813979999999994,-0.7185802052621053,0.0,0.35290298355,63.50434766899
2,HD 224905,0.41095833333333326,60.44992222222222,8.47,B1Vne,,0,2.0,429341153012514176,0.024,0.41094910628,60.44991724112,Gaia DR3 429341153012514176,0.7747,0.0182,42.66,3.546,-3.198,0.017,-1.531,0.018360384,0.124,14.4,0.868,,,,8.410068,0.002787,8.476914,0.003048,8.234395,0.003893,,0.99999785,B,1262.1134,1227.44043,1293.35815,1258.42798,1225.81128,1284.8645,0.24251900000000148,-2.0285778885726202,0.0,0.41094910628,60.44991724112
3,HD 225095,0.8631249999999999,55.55089722222222,7.95,B2IVne,,0,3.0,420875841188703360,0.058,0.86309820655,55.55089167635,Gaia DR3 420875841188703360,0.7951,0.0303,26.2722,2.29,-1.752,0.028,-1.475,0.029482745,0.307,76.76,1.041,,,,7.900065,0.002863,7.871469,0.003398,7.892114,0.004466,,0.99967754,B,1223.64722,1186.61792,1265.24231,1231.87842,1182.99438,1277.47034,-0.020645000000000024,-2.5668121393310424,0.0,0.86309820655,55.55089167635
4,2 Cet,0.9349583333333332,-17.335991666666665,4.543,B9IVne,,0,4.0,2414783622022208128,0.401,0.93506738484,-17.33603138528,Gaia DR3 2414783622022208128,10.5075,0.1181,88.9965,26.908,25.363,0.186,-8.987,0.08249211,0.79,880.3,0.814,103.4702,99.0662,105.7492,4.516587,0.00292,4.507541,0.002949,4.523403,0.004486,9823.4,0.9998197,,94.8172226,94.0294571,95.6327515,94.5393677,93.2337112,95.4622269,-0.015862000000000265,-0.37689514875775476,0.0,0.93506738484,-17.33603138528
5,10 Cas,1.6105833333333333,64.19616944444445,5.567,B9IIIe,125,0,5.0,431696822314371456,0.133,1.61066661509,64.19616165053,Gaia DR3 431696822314371456,3.407,0.0536,63.5772,9.285,9.248,0.055,0.828,0.051236514,0.472,314.5,0.95,,,,5.53836,0.002833,5.534208,0.003092,5.504747,0.004297,,0.99921715,B,289.575134,285.029114,294.718994,290.05838,286.251862,293.611664,0.029460999999999515,-1.7745983299211385,0.0,1.61066661509,64.19616165053
6,BD+59 2829,1.7012499999999997,60.600230555555555,9.86,B1Ve,,0,6.0,429302051629352960,0.016,1.70124274523,60.60022812302,Gaia DR3 429302051629352960,0.4007,0.0138,29.069,3.818,-3.425,0.013,-1.687,0.013514733,0.079,8.273,0.882,2308.6294,1679.9708,2489.3174,9.631721,0.002958,9.883719,0.00373,9.179588,0.005444,39677.8,0.99996316,B,2394.14502,2321.95825,2481.47827,2378.59741,2309.29492,2483.76929,0.7041309999999985,-2.012033266438527,0.0,1.70124274523,60.60022812302
7,BD+62 1,1.888125,63.08032777777778,10.46,B2IVpe,,0,7.0,431515810905725952,0.143,1.88804998116,63.08030715474,Gaia DR3 431515810905725952,0.3515,0.0153,23.0179,3.312,-3.195,0.015,-0.873,0.016631583,0.126,22.16,1.013,2553.6226,2500.3633,2624.5854,10.291224,0.003244,10.46967,0.00475,9.943698,0.007861,29170.2,0.00026075,B,2717.45264,2632.81812,2801.71094,2820.6106,2673.33423,2964.67334,0.5259720000000012,-1.7011399195121868,0.0,1.88804998116,63.08030715474
8,BD+62 11,2.6954999999999996,63.172936111111106,9.6,B5Ve,,0,8.0,431350373076175744,0.029,2.69550440665,63.17292822644,Gaia DR3 431350373076175744,0.7294,0.0197,37.0192,2.754,-0.239,0.021,-2.743,0.022582993,0.185,45.89,1.376,,,,9.402717,0.002809,9.532551,0.002943,9.088199,0.003833,,0.9999455,B,1341.51245,1302.13708,1375.89856,1332.56873,1299.87158,1365.89221,0.4443520000000003,-1.1054225376346825,0.0,2.69550440665,63.17292822644
9,V742 Cas,2.904791666666666,58.21182777777778,7.08,B5IIe,,0,9.0,422858810408804864,0.04,2.90478301275,58.21181763092,Gaia DR3 422858810408804864,1.4128,0.0358,39.495,2.421,0.661,0.034,-2.329,0.034215152,0.299,91.67,1.46,,,,7.006101,0.002848,7.104907,0.0035,6.758527,0.004684,,0.99996334,B,693.886841,679.185181,710.061523,702.990967,684.441101,721.578003,0.3463799999999999,-2.1015362576324437,0.0,2.90478301275,58.21181763092
10,EM* AS 2,3.2468749999999997,66.32206388888889,10.58,B5e,,0,10.0,528183090813390848,0.055,3.24683752711,66.32206610004,Gaia DR3 528183090813390848,1.2645,0.0114,111.0395,1.869,-1.866,0.011,-0.102,0.012901157,0.069,6.543,0.887,,,,10.284974,0.002775,10.772136,0.002874,9.61607,0.003808,,0.99998885,G,779.352356,772.112793,786.734558,778.079224,771.786743,784.290588,1.1560659999999991,1.3134667368707884,0.0,3.24683752711,66.32206610004
11,BD+61 39,5.072666666666666,62.46386666666667,8.85,B0.5IVe,,0,11.0,430511789300158720,0.157,5.07257635144,62.46387891215,Gaia DR3 430511789300158720,0.411,0.0159,25.9253,3.344,-3.302,0.015,0.533,0.015319899,0.118,18.56,0.891,2551.2993,2463.5156,2617.8337,8.904564,0.004061,8.980373,0.009181,8.684611,0.012736,21772.5,5.916e-05,B,2303.06006,2225.56079,2404.15967,2305.25391,2207.70459,2399.39819,0.29576199999999986,-2.831153318971113,0.0,5.07257635144,62.46387891215
12,IPHAS J002441.72+642137.9,6.173833333333333,64.36053055555556,,B5III,,0,12.0,431186614557938560,0.427,6.17389966318,64.36041537665,Gaia DR3 431186614557938560,0.1689,0.0197,8.5527,1.511,-1.427,0.018,-0.496,0.020506278,0.0,0.0,1.032,,,,14.771651,0.002771,15.575403,0.003286,13.869103,0.003873,,0.99999714,B,4953.06787,4541.5083,5311.56982,4681.62207,4375.1748,5029.43408,1.7062999999999988,2.101031605025595,0.0,6.17389966318,64.36041537665
13,BD+63 48,6.6671249999999995,64.43206111111111,9.26,B1IIInne,,0,13.0,431147444454518400,0.271,6.66704514204,64.43199418276,Gaia DR3 431147444454518400,1.0458,0.2021,5.1744,3.663,-3.659,0.212,-0.168,0.19751084,1.64,1802.0,9.301,,,,9.383128,0.003071,9.327831,0.004801,8.076145,0.004892,,0.9999934,B,1033.72815,865.607178,1328.01624,1058.81372,864.971619,1319.65759,1.2516859999999994,-0.7442007146907201,1.0,6.66704514204,64.43199418276
14,IPHAS J002758.97+622906.1,6.995708333333333,62.485030555555554,,,,0,14.0,430553261502536448,0.068,6.9956674245,62.4850296218,Gaia DR3 430553261502536448,0.211,0.0202,10.4428,2.219,-2.149,0.019,-0.555,0.021339362,0.058,1.04,1.033,5617.5815,5299.3623,5849.6567,15.032607,0.00278,15.599983,0.003363,14.28707,0.004049,14769.6,0.9999938,unknown,4221.95215,3868.88403,4598.21484,3974.24365,3691.88892,4765.03271,1.312913,2.4724164656447964,0.0,6.9956674245,62.4850296218
15,BD+55 81,7.050166666666666,56.39653611111111,10.02,B1.5Vnne,,0,15.0,421675529736368896,0.09,7.05012793566,56.39652309674,Gaia DR3 421675529736368896,0.4522,0.0183,24.6883,3.977,-3.546,0.014,-1.802,0.019328082,0.158,41.76,1.01,3409.9817,3358.3274,3450.8376,10.03783,0.002782,10.060594,0.003041,9.946081,0.003967,17058.5,0.9999266,B,2155.50073,2073.67041,2233.90308,2098.20361,1992.24377,2199.28906,0.11451300000000053,-1.607146871358763,0.0,7.05012793566,56.39652309674
16,IPHAS J002843.24+615216.2,7.180166666666666,61.87116944444445,,,,0,16.0,430234025173785728,0.055,7.18013434491,61.87116745232,Gaia DR3 430234025173785728,0.2453,0.0192,12.7502,1.761,-1.582,0.016,-0.774,0.019172648,0.0,0.0,0.961,,,,14.475029,0.002774,14.843826,0.003109,13.909467,0.004063,,0.9999904,G,3649.26855,3413.61743,3927.80225,3609.04321,3375.94189,3880.94678,0.9343590000000006,2.0327968784472272,0.0,7.18013434491,61.87116745232
17,IPHAS J002926.93+630450.2,7.362208333333332,63.08061111111112,,B7V B6,,0,17.0,430949910320096896,0.075,7.36225419422,63.08060886006,Gaia DR3 430949910320096896,0.3383,0.0151,22.4505,2.76,-2.649,0.015,-0.774,0.0157096,0.0,0.0,0.991,2653.7534,2650.6172,2671.9812,14.148559,0.002762,14.436487,0.002861,13.688206,0.003818,9562.8,0.9999852,F,2726.52881,2619.25,2826.17969,2706.61206,2601.43652,2815.53784,0.7482810000000004,2.258436544795172,0.0,7.36225419422,63.08060886006
18,BD+62 89,7.455208333333332,63.06778055555556,10.25,B0Vpe,,0,18.0,430785666465509248,0.1,7.45514852574,63.06778627599,Gaia DR3 430785666465509248,0.3489,0.013,26.766,3.14,-2.992,0.013,-0.954,0.013289839,0.066,5.786,0.833,2365.1436,2192.6995,2495.2375,9.908119,0.002983,10.191108,0.004325,9.435628,0.005203,28976.5,0.9999729,O,2737.71997,2648.68311,2845.53076,2726.44043,2612.71167,2828.33105,0.7554800000000004,-1.9958371194585816,0.0,7.45514852574,63.06778627599
