Name,eDR3_id,RA,DEC,ref
IGR J00370+6122,427234969757165952,9.2901,61.3601,https://arxiv.org/pdf/2207.02114.pdf
1A 0114+650,524924310153249920,19.5112,65.2916,https://arxiv.org/pdf/2207.02114.pdf
LS I+61 303,465645515129855872,40.1319,61.2293,https://arxiv.org/pdf/2207.02114.pdf
X Per,168450545792009600,58.8462,31.0458,https://arxiv.org/pdf/2207.02114.pdf
XTE J0421+560,276644757710014976,64.9256,55.9994,https://arxiv.org/pdf/2207.02114.pdf
1A 0535+262,3441207615229815040,84.7274,26.3158,https://arxiv.org/pdf/2207.02114.pdf
IGR J06074+2205,3423526544838563328,91.8609,22.0966,https://arxiv.org/pdf/2207.02114.pdf
HD 259440,3131822364779745536,98.2469,5.8003,https://arxiv.org/pdf/2207.02114.pdf
IGR J08408-4503,5522306019626566528,130.1991,-45.0584,https://arxiv.org/pdf/2207.02114.pdf
Vela X-1,5620657678322625920,135.5286,-40.5547,https://arxiv.org/pdf/2207.02114.pdf
2FGL J1019.0-5856,5255509901121774976,154.7316,-58.9461,https://arxiv.org/pdf/2207.02114.pdf
Cen X-3,5337498593446516480,170.3129,-60.6238,https://arxiv.org/pdf/2207.02114.pdf
1E 1145.1-6141,5334851450481641088,176.8689,-61.9537,https://arxiv.org/pdf/2207.02114.pdf
GX 301-2,6054569565614460800,186.6565,-62.7704,https://arxiv.org/pdf/2207.02114.pdf
PSR B1259-63,5862299960127967488,195.6985,-63.8357,https://arxiv.org/pdf/2207.02114.pdf
4U 1538-522,5886085557746480000,235.5973,-52.386,https://arxiv.org/pdf/2207.02114.pdf
4U 1700-377,5976382915813535232,255.9866,-37.8441,https://arxiv.org/pdf/2207.02114.pdf
IGR J17544-2619,4063908810076415872,268.6053,-26.3313,https://arxiv.org/pdf/2207.02114.pdf
IGR J17544-2619,4063908810076415872,268.6052987030251,-26.33127433694773,https://arxiv.org/pdf/2206.03904.pdf
SAX J1802.7-2017,4070968778561141760,270.6747,-20.2882,https://arxiv.org/pdf/2207.02114.pdf
LS5039,4104196427943626624,276.5628,-14.8484,https://arxiv.org/pdf/2207.02114.pdf
IGR J18410-0535,4256500538116700160,280.2518,-5.5963,https://arxiv.org/pdf/2207.02114.pdf
IGR J18450-0435,4258160560148155648,281.2566,-4.5658,https://arxiv.org/pdf/2207.02114.pdf
SS 433,4293406612283985024,287.9565,4.9827,https://arxiv.org/pdf/2207.02114.pdf
Cyg X-1,2059383668236814720,299.5903,35.2016,https://arxiv.org/pdf/2207.02114.pdf
4U 2206+543,2005653524280214400,331.9843,54.5184,https://arxiv.org/pdf/2207.02114.pdf
MWC 656,1982359580155628160,340.7387,44.7217,https://arxiv.org/pdf/2207.02114.pdf
4U 0115+634,524677469790488960,19.63319348306226,63.74252240557648,https://arxiv.org/pdf/2206.03904.pdf
IGR J01363+6610,519352324516039680,23.95771733364349,66.21202346679833,https://arxiv.org/pdf/2206.03904.pdf
IGR J01583+6713,518990967445248256,29.577032913394262,67.22318460660581,https://arxiv.org/pdf/2206.03904.pdf
EXO 0331+530,444752973131169664,53.749629724978455,53.17313997828423,https://arxiv.org/pdf/2206.03904.pdf
RX J0440.9+4431,252878401557369088,70.24720739300419,44.53034418647852,https://arxiv.org/pdf/2206.03904.pdf
EXO 051910+3737.7,184497471323752064,80.64680481184236,37.6759929364201,https://arxiv.org/pdf/2206.03904.pdf
IGR J08262-3736,5541793213959987968,126.55687950869762,-37.61995049188073,https://arxiv.org/pdf/2206.03904.pdf
GRO J1008-57,5258414192353423360,152.4456445370427,-58.2932074753388,https://arxiv.org/pdf/2206.03904.pdf
1A 1118-615,5336957010898124160,170.23817252151974,-61.91670671055608,https://arxiv.org/pdf/2206.03904.pdf
2E 1145.5-6155,5334823859608495104,177.0000300154924,-62.20691022592309,https://arxiv.org/pdf/2206.03904.pdf
GX 304-1,5863533199843070208,195.3211964950643,-61.60184481322823,https://arxiv.org/pdf/2206.03904.pdf
IGR J14331-6112,,218.2847083,-61.26102778,INTEGRAL reference catalog
1H 1555-552,5884544931471259136,238.59067450082784,-55.32898953059539,https://arxiv.org/pdf/2206.03904.pdf
IGR J16195-4945,5935509395659726592,244.8840954475876,-49.741826170029775,https://arxiv.org/pdf/2206.03904.pdf
IGR J16465-4507,5943246345430928512,251.64690161252628,-45.11796081034128,https://arxiv.org/pdf/2206.03904.pdf
RX J1744.7-2713,4060784345959549184,266.19068598153774,-27.2290321367955,https://arxiv.org/pdf/2206.03904.pdf
XTE J1855-026,4255891924062617088,283.8766800200503,-2.604679419397789,https://arxiv.org/pdf/2206.03904.pdf
IGR J20006+3210,2033989790047905024,300.09104899633587,32.18973933161206,https://arxiv.org/pdf/2206.03904.pdf
RX J2030.5+4751,2083644392294059520,307.62850374937096,47.86406792934166,https://arxiv.org/pdf/2206.03904.pdf
GRO J2058+42,2065653598916388352,314.6980582988151,41.77697968527045,https://arxiv.org/pdf/2206.03904.pdf
SAX J2103.5+4545,2162805896614571904,315.8987696922526,45.751532832107685,https://arxiv.org/pdf/2206.03904.pdf
IGR J21347+4737,1978365123143522176,323.5848682806499,47.63337917570627,https://arxiv.org/pdf/2206.03904.pdf
Cep X-4,2178178409188167296,324.87785209104953,56.98621852916199,https://arxiv.org/pdf/2206.03904.pdf
AX J1820.5-1434,,275.1254167,-14.57302778,INTEGRAL reference catalog
XTE J1858+034,,284.6817917,3.434777778,INTEGRAL reference catalog
IGR J10101-5654,,152.5494583,-56.92558333,INTEGRAL reference catalog
IGR J11305-6256,,172.7789583,-62.94691667,INTEGRAL reference catalog
IGR J11435-6109,,176.001034,-61.1268,INTEGRAL reference catalog
IGR J16207-5129,,245.1927731,-51.50167968,INTEGRAL reference catalog
IGR J16479-4514,,252.0283333,-45.20161111,INTEGRAL reference catalog
IGR J16493-4348,,252.362308,-43.81918,INTEGRAL reference catalog
IGR J17354-3255,,263.865,-32.93177778,INTEGRAL reference catalog
IGR J17586-2129,,269.644,-21.38931389,INTEGRAL reference catalog
SAX J1818.6-1703,,274.65791,-17.04665774,INTEGRAL reference catalog
IGR J18483-0311,,282.0716858,-3.171367056,INTEGRAL reference catalog
KS 1947+300,,297.39785,30.20882639,INTEGRAL reference catalog
Cyg X-3,,308.107422,40.957756,INTEGRAL reference catalog
