Be_star,Type,RA,DEC,Xcat,Xidentifier,Gamma,e_Gamma,E_Gamma,Fb,e_Fb,E_Fb,Fs,e_Fs,E_Fs,Fm,e_Fm,E_Fm,Fh,e_Fh,E_Fh,HRms,e_HRms,E_HRms,HRhm,e_HRhm,E_HRhm,DR3Name,Plx,RPlx,PM,e_PM,epsi,sepsi,RUWE,G,e_G,BP,e_BP,RP,e_RP,Teff,Gflux,e_Gflux,E_Gflux,dist,e_dist,E_dist,J,e_J,H,e_H,K,e_K,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Vsini,Vtran,e_Vtran,E_Vtran,LX,e_LX,E_LX,fX2O,e_fX2O,E_fX2O,match_flag,Class,ref,G-BP,G-RP,G-J,G-K,BP-RP,J-H,J-K,H-K,W1-W2,W1-W3,W2-W3,W1-W4
RX J0048.5-7302,Be,12.14218198857,-73.04203573372,XMM,J004834.1-730232,0.7182999849319458,1.0,0.7837299704551697,1.221893795985295e-14,3.486604782670314e-14,3.393893076051244e-14,4.2075060480794804e-16,5.53250094923334e-16,5.65195783058971e-16,1.9474831550848338e-15,3.75759690641724e-15,3.8832948543636535e-15,9.850704199960167e-15,3.465855840734438e-14,3.371129774968242e-14,0.6446713901865861,1.927586489421467,1.9525096693537816,0.6698673963247287,3.528464029385158,3.4904971414562995,Gaia DR3 4685949198438263040,-0.0328,-1.164,1.451,0.0333960191678993,0.235,15.97,0.993,14.78418,0.003112,14.783821,0.004885,14.66787,0.005961,31470.0,1.2360652519506972e-11,3.542881822686837e-14,3.542881822686837e-14,62440.0,470.0,470.0,14.703,0.046,14.622,0.053,14.437,0.075,14.116,0.03,13.827,0.032,12.777,,9.34,,,429.4621617237009,10.399629491321829,10.399629491321829,5.70113015590215e+33,1.626807859898704e+34,1.5835509130920515e+34,0.0009885350260085077,0.0028207301646600152,0.0027457246919133822,0,HMXB,SIMBAD,0.0003589999999995541,0.11630999999999858,0.08117993133544843,0.3471797253417961,0.11595099999999903,0.08100033,0.2659998,0.18499947,0.2890005,1.3389997,1.0499992,4.776
RX J0049.2-7311,Be,12.30678073466,-73.19385822658,CXO,J004913.5-731137,1.23578,0.11668000000000012,0.12171999999999983,2.2655606760380691e-13,8.26381057486024e-15,7.768095055068504e-15,6.1156454173399e-15,9.648166620303004e-16,9.648166620302996e-16,2.1057212853247e-14,1.3155499283840017e-15,1.3155499283829983e-15,1.9938320933322e-13,8.101174137849986e-15,7.594850754240003e-15,0.5498710252384642,0.06851672863797002,0.06851672863795183,0.808953252362808,0.046757554481065014,0.046149202555610176,Gaia DR3 4685944907831053184,0.0056,0.1525,1.341,0.04347736314550907,0.0,0.0,0.992,16.404427,0.002906,16.492868,0.005837,16.216297,0.005369,30095.9,2.779345887662043e-12,7.438988507659805e-15,7.438988507659805e-15,62440.0,470.0,470.0,16.106,0.09,15.858,0.17,15.884,,15.186,0.014,15.162,0.023,,,,,,396.90472699619767,13.210544171093087,13.210544171093087,1.0570686529897185e+35,4.171230243440158e+33,3.9584158405876143e+33,0.08151416799525572,0.0029812872043960595,0.002803438926030306,0,HMXB,SIMBAD,-0.0884410000000031,0.18812999999999747,0.29842609973144363,0.5204271754760725,0.27657100000000057,0.2480011,0.22200108,-0.026000023,0.024000168,,,
RX J0049.5-7310,Be,12.3742120057,-73.18292105745,CXO,J004929.7-731058,0.895418,0.11977800000000005,0.12478199999999995,3.4088663580319614e-13,1.387082841208044e-14,1.3021635496355112e-14,6.6978176116432e-15,1.2312191428733e-15,1.1587944874102004e-15,2.7463462390203e-14,1.9300020359769993e-15,1.9300020359769993e-15,3.0672535580135e-13,1.3680609357800002e-14,1.2825571272930023e-14,0.607870805117301,0.07711768164423241,0.0784236628482244,0.8356410454495742,0.052544962616721015,0.051959098707499374,Gaia DR3 4685944942190772224,-0.0047,-0.0407,1.718,0.14077040265646154,1.32,143.8,3.31,16.201807,0.003264,16.221954,0.005059,15.949686,0.006047,19986.9,3.3495818743695416e-12,1.0069697584025714e-14,1.0069697584025714e-14,62440.0,470.0,470.0,15.586,0.106,15.294,0.109,15.012,0.164,14.529,0.015,14.39,0.015,,,,,,508.4879351077313,41.84019244980514,41.84019244980514,1.5905139100526407e+35,6.900610494144176e+33,6.530457381669785e+33,0.10176990698797528,0.004152349101138287,0.003899560870006767,0,HMXB,SIMBAD,-0.02014700000000147,0.25212099999999893,0.6158065574951159,1.189806916076659,0.2722680000000004,0.29200077,0.57400036,0.2819996,0.13899994,,,
RX J0049.7-7323,B2Ve,12.42504076091,-73.3874154799,CXO,J004942.0-732314,2.02198,0.23938000000000015,0.2589199999999998,3.6539442879610606e-14,2.6802340434657068e-15,2.676646701500194e-15,1.9918265552461e-15,3.9836531104919985e-16,3.7346747910870017e-16,6.3152514844405e-15,6.460546935216e-16,6.460546935216e-16,2.8232364839924e-14,2.570519974574e-15,2.5705199745729997e-15,0.5204507419503561,0.1012690913911781,0.10300162963928049,0.6344030554729354,0.09085528396990081,0.09085528396988664,Gaia DR3 4685927315640017792,-0.0301,-1.5117,1.32,0.02424980076887591,0.09,2.317,1.035,14.796638,0.004103,14.840578,0.008287,14.654923,0.011583,32368.3,1.2219633988345715e-11,4.617802928046557e-14,4.617802928046557e-14,62440.0,470.0,470.0,14.551,0.039,14.482,0.062,14.303,0.072,13.726,0.031,13.583,0.032,12.848,,9.249,,,390.689216730038,7.756485001556365,7.756485001556365,1.7048627332855295e+34,1.2766136513288598e+33,1.2749740840487374e+33,0.002990224004619085,0.0002196292148047271,0.00021933603218423703,0,HMXB,SIMBAD,-0.04394000000000098,0.1417149999999996,0.2456383585815427,0.4936375498657224,0.18565500000000057,0.06899929,0.24799919,0.1789999,0.14299965,0.87800026,0.7350006,4.477
DZ Tuc,Be,12.68629359142,-73.26818072762,CXO,J005044.6-731605,0.890331,0.06489100000000003,0.06613900000000006,4.1007464762065596e-13,1.062116796029936e-14,1.0020468985310438e-14,1.5959001742418e-14,1.1773828218409983e-15,1.1773828218400012e-15,3.7660337699568e-14,1.6835096513469986e-15,1.6835096513460015e-15,3.5645530817867e-13,1.0420593734790014e-14,9.807617632750032e-15,0.4047296401446718,0.04133305087085774,0.04133305087085743,0.8088868681391901,0.03368188609354416,0.033269698659201735,Gaia DR3 4685928999266932864,-0.0248,-1.0117,1.448,0.030120947104309077,0.064,0.7221,0.987,15.345635,0.003619,15.346321,0.0074,15.291616,0.007578,29222.2,7.369862712331967e-12,2.4565389860855775e-14,2.4565389860855775e-14,62440.0,470.0,470.0,15.296,0.045,15.299,0.1,14.806,0.113,14.592,0.03,14.367,0.04,12.763,,9.187,,,428.57423168567806,9.480816754616901,9.480816754616901,1.913332359491909e+35,5.731943206960244e+33,5.491433573904621e+33,0.055642101301897985,0.0014530474292451083,0.0013722460711950283,0,HMXB,SIMBAD,-0.0006859999999999644,0.05401900000000026,0.04963547302246063,0.5396352441406247,0.054705000000000226,-0.0030002594,0.48999977,0.49300003,0.22500038,1.8290005,1.6040001,5.4049997
SMC 25,Be,12.9667809195,-73.17615541879,CXO,J005152.0-731034,1.05488,0.050080000000000124,0.05122000000000004,5.79713457267657e-13,1.9957080545558377e-14,1.995708054555842e-14,7.1651962123379e-14,5.412904345515996e-15,5.412904345516009e-15,6.8430614320308e-14,3.79651289475901e-15,3.7965128947589976e-15,4.3963088082397e-13,1.8830082853989973e-14,1.8830082853990023e-14,-0.02299606335671567,0.0472102394850568,0.04721023948505668,0.7306207418813534,0.04682455910590724,0.04682455910590728,Gaia DR3 4685938413838450688,-0.0247,-1.3862,1.375,0.0209661206394872,0.11,5.039,1.037,14.335338,0.00285,14.31789,0.003066,14.295343,0.004143,37563.4,1.868866149504165e-11,4.905674603780398e-14,4.905674603780398e-14,62440.0,470.0,470.0,14.432,0.033,14.448,0.051,14.171,0.072,13.731,0.03,13.558,0.031,12.461,,9.477,,,406.9679340937896,6.920409401910018,6.920409401910018,2.7048356279981526e+35,1.0163021637410292e+34,1.0163021637410311e+34,0.03101952793256289,0.0010709708420165128,0.0010709708420165152,0,HMXB,SIMBAD,0.017447999999999908,0.03999499999999934,-0.09666216021728502,0.16433847302246107,0.02254699999999943,-0.015999794,0.26100063,0.27700043,0.17300034,1.2699995,1.0969992,4.2539997
2E 0050.1-7247,Be,12.97140906573,-72.530206451,CXO,J005153.0-723148,1.44646,0.27316000000000007,0.29894,2.9456226871292003e-14,3.3467080190428252e-15,3.3383231133935033e-15,2.1731608378626e-15,7.734979253409002e-16,7.734979253409e-16,4.2694109139624e-15,6.594669985818003e-16,6.155025320095997e-16,2.3013655119467e-14,3.1886139311620004e-15,3.1886139311620004e-15,0.32537473494276425,0.16548288284027382,0.1617933626516573,0.6870285100119483,0.14441354327548483,0.144796819286168,Gaia DR3 4688984061034529408,0.0078,0.2529,1.479,0.036700558621845,0.282,22.63,1.279,14.86245,0.005819,14.718246,0.014218,14.968932,0.023374,29610.9,1.1500941589726573e-11,6.163926266558243e-14,6.163926266558243e-14,62440.0,470.0,470.0,14.468,0.032,14.259,0.04,14.258,0.064,14.334,0.029,14.258,0.039,12.921,,8.516,0.262,,437.7495087452472,11.351272950601167,11.351272950601167,1.3743729925365715e+34,1.5751600124141723e+33,1.5712817525247437e+33,0.0025612013278638263,0.00029131784129511146,0.0002905895905883325,0,HMXB,SIMBAD,0.14420400000000022,-0.10648199999999974,0.39444958801269614,0.6044496261596688,-0.25068599999999996,0.20900059,0.21000004,0.0009994507,0.07599926,1.4130001,1.3370008,5.818
X SMC X-3,O9IVe,13.02344958455,-72.43451356928,CXO,J005205.6-722603,0.7684999704360962,0.028627000749111176,0.029349999502301216,5.9940164549553104e-15,2.3385529362883676e-15,2.247791817491476e-15,1.3171534343028e-15,6.272159210965601e-16,6.272159210966e-16,6.9385047018141e-16,3.6518445799022004e-16,3.469252350906899e-16,3.9830125504711e-15,2.2230767723559004e-15,2.1304485735078996e-15,-0.3099461730191206,0.37743437428987753,0.3735644674351895,0.703283817756713,0.5803465948828784,0.5730384513862737,Gaia DR3 4688985847741087744,-0.0401,-1.9391,1.475,0.025939210259661675,0.105,3.188,1.029,14.810769,0.003035,14.805577,0.005241,14.744729,0.00966,19946.8,1.2061624328016044e-11,3.3716320479230665e-14,3.3716320479230665e-14,62440.0,470.0,470.0,14.82,0.029,14.614,0.053,14.449,0.082,14.378,0.03,14.246,0.038,12.9,0.484,9.226,,,436.5656020278834,8.351115391799297,8.351115391799297,2.7966970679938435e+33,1.0919374869535172e+33,1.0496227906952695e+33,0.0004969493570640196,0.00019388872479045673,0.00018636414163575166,0,HMXB,SIMBAD,0.005192000000000974,0.06604000000000099,-0.009230694824218233,0.36176864141845755,0.06084800000000001,0.20599937,0.37099934,0.16499996,0.13199997,1.4780006,1.3460007,5.1520004
2E 0050.4-7335,Be,13.05832548551,-73.32189778066,CXO,J005214.0-731918,1.3919999599456787,0.023879999294877052,0.027219999581575394,1.07906481097209e-15,3.9681876079910267e-16,9.720062563905512e-16,6.3043756612218e-16,3.0878574667208995e-16,2.959196738940901e-16,4.4861724484991e-16,2.4923180269439e-16,2.4923180269439996e-16,1e-20,1e-20,8.9169009055304e-16,-0.16849961598194735,0.3636008800594994,0.37293063551182515,-0.9999554195599364,2.13715180926711,2.1372342131197417,Gaia DR3 4685885980866646656,-0.0646,-3.8001,1.358,0.0192380592449238,0.0,0.0,0.916,14.569972,0.003252,14.611802,0.007837,14.445728,0.005046,37632.0,1.505651973717362e-11,4.509732840326194e-14,4.509732840326194e-14,62440.0,470.0,470.0,14.4,0.032,14.253,0.053,14.107,0.065,13.639,0.025,13.407,0.027,12.41,0.365,8.978,,,401.93633054499367,6.4478888626706174,6.4478888626706174,5.0347165639262084e+32,1.8530336203401928e+32,4.53583449546317e+32,7.166761175943902e-05,2.635615199338408e-05,6.45575236996366e-05,0,HMXB,SIMBAD,-0.04183000000000092,0.12424399999999913,0.16997238146972649,0.4629716490478515,0.16607400000000005,0.14699936,0.29299927,0.14599991,0.23200035,1.2290001,0.99699974,4.6610003
2E 0051.1-7214,Be,13.2302834951,-71.96841874201,XMM,J005255.3-715807,0.8792999982833862,0.16342000663280487,0.18928000330924988,1.2684567519177013e-12,7.729161478447812e-13,7.839308808296562e-13,7.565034267068477e-14,2.0136385387154947e-14,1.9795799176803542e-14,1.1336937092787969e-13,4.8923462946651504e-14,4.7923259174107546e-14,1.0794370383191368e-12,7.711033603584303e-13,7.822142375867648e-13,0.1995507639869865,0.28452788785551625,0.2806220077745612,0.8099115329210103,0.8382569777942436,0.8408096235484693,Gaia DR3 4689080337014302336,-0.077,-2.9469,1.415,0.03231643587799042,0.0,0.0,0.933,15.465887,0.003031,15.457437,0.005681,15.42253,0.004763,33641.6,6.5971840116305236e-12,1.841705623485832e-14,1.841705623485832e-14,62440.0,470.0,470.0,15.375,0.049,15.156,0.082,14.952,0.127,14.713,0.029,14.559,0.041,12.893,,9.337,,,418.8070012674271,10.07102290042476,10.07102290042476,5.918384284768665e+35,3.607384075683334e+35,3.658761322088505e+35,0.19227245286496056,0.11715972423162406,0.11882931825727872,0,HMXB,SIMBAD,0.008449999999999847,0.04335700000000031,0.09088700000000038,0.5138873356933598,0.034907000000000465,0.21899986,0.42300034,0.20400047,0.15400028,1.8200006,1.6660004,5.3760004
Cl* NGC 330 ELS 055592,B3IVe,13.34460251277,-72.19883641895,XRT,11830.0,,,,8.820493377623279e-15,3.910498000821081e-15,3.910498000821081e-15,2.194627139406855e-15,1.498077312465478e-15,1.498077312465478e-15,1.573544921802135e-15,1.074119564626432e-15,1.074119564626432e-15,5.0523213164142886e-15,3.4487716858598516e-15,3.4487716858598516e-15,-0.16482321070164999,0.49579188164354016,0.49579188164354016,0.5250296745423861,0.6157325516379676,0.6157325516379676,Gaia DR3 4689061812857160832,-0.0182,-0.3797,1.423,0.06005777569016394,0.119,0.7609,1.038,16.538229,0.002942,16.383108,0.011819,16.386274,0.008227,24505.6,2.4570941491910537e-12,6.657944126060014e-15,6.657944126060014e-15,62440.0,470.0,470.0,16.312,0.211,14.674,,15.251,,,,,,,,,,118.0,421.17481470215466,18.056195881818056,18.056195881818056,4.1154788534263474e+33,1.8256175573577845e+33,1.8256175573577845e+33,0.0035898068376937205,0.0015915430189613893,0.0015915430189613893,1,star,,0.15512100000000117,0.15195500000000095,0.22622872534179805,1.287228595642091,-0.003166000000000224,1.6380005,1.0609999,-0.5770006,,,,
CXOU J005323.8-722715,Be,13.34942184261,-72.45429641583,CXO,J005323.8-722715,0.886785,0.11780500000000005,0.12221499999999985,2.42655958051226e-13,1.1558684468616444e-14,1.0944635907275358e-14,1.1740500071705e-14,1.4262714001849997e-15,1.426271400186e-15,2.4015664959591e-14,1.9111565094680016e-15,1.9111565094679984e-15,2.0689979301993e-13,1.1310014028920009e-14,1.0681679916200012e-14,0.3433020537057601,0.07051392052575516,0.0705139205257374,0.7919960389856545,0.06206945190853431,0.06128639700644861,Gaia DR3 4689005260999717760,0.0096,0.2902,1.474,0.041919350516628984,0.037,0.1174,0.888,16.185415,0.003143,16.124111,0.004636,16.27051,0.014973,24522.9,3.400536163592551e-12,9.843906020019237e-15,9.843906020019237e-15,62440.0,470.0,470.0,16.274,0.107,15.802,0.159,16.502,,15.658861,-0.016202375,15.316841,-0.036274046,,,,,,436.26962534854243,12.834382543975536,12.834382543975536,1.1321877600987677e+35,5.655998762413109e+33,5.383506160108115e+33,0.07135814659146816,0.0034053480465994585,0.0032251251344255264,0,HMXB,SIMBAD,0.0613039999999998,-0.08509500000000259,-0.08858516784668069,-0.3165858087158213,-0.1463990000000024,0.47200012,-0.22800064,-0.70000076,0.34202003,,,
Cl* NGC 330 ELS 065055,B1IIIe,13.48049321901,-72.44595564949,CXO,J005355.3-722645,0.7143999934196472,0.025187000632286072,0.025086000561714172,6.7302262224171e-15,1.0652703502259694e-15,1.065270350226094e-15,1.6729236065701e-15,3.8605929382380004e-16,3.8605929382390023e-16,1.5013347562725e-15,3.4030254475509987e-16,3.4030254475510007e-16,3.5559678595745e-15,9.327128811997998e-16,9.327128811999004e-16,-0.05405635921328705,0.16236385238614953,0.16236385238612588,0.4062705476361709,0.21190432472615495,0.21190432472616938,Gaia DR3 4689005432797634944,-0.0412,-2.1602,1.408,0.023209389493642745,0.104,3.471,0.987,14.664824,0.003054,14.632143,0.004874,14.606682,0.008292,34001.2,1.379697247217422e-11,3.880864775933923e-14,3.880864775933923e-14,62440.0,470.0,470.0,14.413,0.036,14.214,0.056,13.998,0.069,13.454,0.013,13.402,0.012,,,,,420.0,416.7351645120405,7.5517592930350315,7.5517592930350315,3.140198910800208e+33,4.992785133736914e+32,4.9927851337374936e+32,0.0004878045698786921,7.722263357758974e-05,7.722263357759879e-05,0,HMXB,SIMBAD,0.03268100000000018,0.05814200000000014,0.251823893188476,0.6668238550415033,0.025460999999999956,0.19900036,0.41499996,0.2159996,0.052000046,,,
Cl* NGC 330 ELS 016486,B1IIIe,13.69321968078,-72.42300436935,CXO,J005446.3-722522,2.05342,0.4259200000000001,0.46198000000000006,2.50357682255169e-14,2.6886230645921796e-15,2.5374839455822106e-15,1.1991294635575e-15,3.7214362662127996e-16,3.5146898069790007e-16,3.4037848659614e-15,5.499487385873e-16,5.106666858311003e-16,2.0432853895998e-14,2.6053328941900003e-15,2.460592177846e-15,0.47896946251318395,0.15577852664166597,0.15368710483740808,0.714407312209349,0.13445492001997097,0.13250289426190126,Gaia DR3 4689006257431240960,-0.036,-1.3626,1.43,0.030919930527047373,0.096,1.479,1.012,15.482405,0.002894,15.45147,0.005303,15.366459,0.00531,31597.5,6.497576445620349e-12,1.7319111356164335e-14,1.7319111356164335e-14,62440.0,470.0,470.0,15.293,0.059,15.205,0.093,14.84,0.12,14.512,0.032,14.332,0.041,12.629,,8.91,,496.0,423.2466514575412,9.690261861417794,9.690261861417794,1.1681225788660033e+34,1.2667276809060552e+33,1.1969318490819344e+33,0.003853093293329716,0.0004139160365629097,0.0003906627793639234,0,HMXB,SIMBAD,0.03093499999999949,0.11594599999999922,0.18940477874755857,0.6424048474121093,0.08501099999999973,0.0880003,0.45300007,0.36499977,0.1800003,1.8830004,1.7030001,5.602
Cl* NGC 330 KWBBE 1054,Be,13.89644265428,-72.48518194309,CXO,J005535.1-722906,0.6439999938011169,0.1152300015091896,0.11371999979019165,4.0874544634294197e-14,4.539373649196568e-15,4.285923335751443e-15,2.9864433725893e-15,9.773814673929002e-16,9.773814673928998e-16,6.1940285149859e-15,1.0711521389697e-15,1.0116436868047001e-15,3.1694072746719e-14,4.301542942874998e-15,4.048511005059005e-15,0.34939218611820255,0.1667751989703173,0.1628584907731235,0.6730356862065048,0.1381941005428591,0.13571269087331708,Gaia DR3 4688993200726721408,-0.0173,-0.8814,1.424,0.023103845007707877,0.092,2.742,0.917,14.671276,0.003206,14.634916,0.004896,14.671101,0.007686,36204.5,1.3715226930577563e-11,4.049880380403003e-14,4.049880380403003e-14,62440.0,470.0,470.0,14.529,0.042,14.529,0.064,14.357,0.08,13.931,0.03,13.748,0.032,12.302,,9.05,,,421.4707913814956,7.538286546713726,7.538286546713726,1.9071305524997322e+34,2.1373588441868006e+33,2.0202378373997503e+33,0.0029802310119394376,0.00033109025154427307,0.00031261768225834927,1,HMXB,SIMBAD,0.03636000000000017,0.00017500000000048033,0.142275717712403,0.3142756490478522,-0.03618499999999969,0.0,0.17199993,0.17199993,0.18299961,1.6289997,1.4460001,4.8809996
Cl* NGC 330 G 68,B5IVe,13.95320073136,-72.45357585484,XMM,J005549.2-722709,,,,5.008548070701804e-15,2.7633397778160564e-15,2.7633397778160564e-15,7.709057855857051e-16,3.585154103902694e-16,3.585154103902694e-16,1.1432381486603753e-15,3.483808763645635e-16,3.483808763645635e-16,3.094404136455723e-15,2.717746160544919e-15,2.717746160544919e-15,0.19451638741123195,0.2660573341874217,0.2660573341874217,0.4604366901492469,0.7118285846017484,0.7118285846017484,Gaia DR3 4688994437677214464,-0.0032,-0.0471,1.586,0.08078249852158076,0.295,2.269,1.084,17.32065,0.002942,17.298206,0.007226,17.334349,0.009676,15385.9,1.195235263401438e-12,3.2387076432717637e-15,3.2387076432717637e-15,62440.0,470.0,470.0,,,,,,,,,,,,,,,317.0,469.41901343472756,24.169413273060652,24.169413273060652,2.3368957708913048e+33,1.2898030466631105e+33,1.2898030466631105e+33,0.0041904286328101805,0.0023119909437260716,0.0023119909437260716,1,star,,0.02244400000000013,-0.013698999999999018,,,-0.03614299999999915,,,,,,,
2E 0054.4-7237,Be,14.02307209505,-72.3665200861,XMM,J005605.5-722159,,,,1.5640149219980476e-14,2.4110340582469757e-15,2.4110340582469757e-15,2.7894003425088747e-16,2.262774510704974e-16,2.262774510704974e-16,2.413849193321219e-15,3.172569675426796e-16,3.172569675426796e-16,1.294735999240837e-14,2.3793343106233606e-15,2.3793343106233606e-15,0.7928244577074548,0.18467720559845696,0.18467720559845696,0.6857214605782909,0.18947290239374753,0.18947290239374753,Gaia DR3 4689006875906895616,-0.01,-0.3041,1.447,0.04056620634207716,0.133,1.826,0.968,15.97395,0.002967,15.884355,0.004735,16.122932,0.005565,22384.4,4.131743930467889e-12,1.1290849644669583e-14,1.1290849644669583e-14,62440.0,470.0,470.0,15.846,0.091,14.186,,14.095,,,,,,,,,,,428.2782550063372,12.431903146654175,12.431903146654175,7.297403968643545e+33,1.13029532122068e+33,1.13029532122068e+33,0.0037853626660278887,0.0005836307599923977,0.0005836307599923977,0,HMXB,SIMBAD,0.08959500000000098,-0.1489819999999984,0.12795028228759797,1.8789497329711917,-0.23857699999999937,1.6599998,1.7509995,0.0909996,,,,
