model,nh,f1,f2,f3,f
abs_gas,0.0,4.1722506983737885e-10,4.313334736360587e-10,4.0435335595716265e-10,1.2529118994306e-09
abs_gas,0.05025125628140704,2.8167923646667835e-10,4.0313548380525637e-10,4.01045415565028e-10,1.085860135836963e-09
abs_gas,0.10050251256281408,2.0196735407106891e-10,3.77155576091204e-10,3.977809053403473e-10,9.769038355026202e-10
abs_gas,0.15075376884422112,1.5039686626800244e-10,3.5319793088948935e-10,3.945591349697246e-10,8.981539321272163e-10
abs_gas,0.20100502512562815,1.1485450732708824e-10,3.3108523531819044e-10,3.913794262432038e-10,8.373191688884822e-10
abs_gas,0.2512562814070352,8.930871783956799e-11,3.106568591945745e-10,3.8824111282896077e-10,7.882066898631032e-10
abs_gas,0.30150753768844224,7.040588557546915e-11,2.9176721589225953e-10,3.851435400523602e-10,7.47316641520089e-10
abs_gas,0.35175879396984927,5.611657075168923e-11,2.742842889572585e-10,3.820860646792888e-10,7.124869243882365e-10
abs_gas,0.4020100502512563,4.51345030735827e-11,2.5808830736990583e-10,3.7906805470368145e-10,6.822908651471699e-10
abs_gas,0.45226130653266333,3.658049512299888e-11,2.43070554134608e-10,3.76088889139156e-10,6.557399383967629e-10
abs_gas,0.5025125628140704,2.984290424740083e-11,2.2913229448364044e-10,3.731479578146756e-10,6.321231565457168e-10
abs_gas,0.5527638190954774,2.4485251476059092e-11,2.161838114152888e-10,3.702446611741573e-10,6.109137240655052e-10
abs_gas,0.6030150753768845,2.018965461829705e-11,2.0414353756875874e-10,3.6737841007995e-10,5.917116022670057e-10
abs_gas,0.6532663316582915,1.672066898013396e-11,1.929372735847274e-10,3.645486256201034e-10,5.742065681849648e-10
abs_gas,0.7035175879396985,1.3901385894626451e-11,1.824974841256998e-10,3.6175473891935464e-10,5.581536089396807e-10
abs_gas,0.7537688442211056,1.15972066364298e-11,1.7276266364741457e-10,3.589961909537557e-10,5.433560612376001e-10
abs_gas,0.8040201005025126,9.704584066380914e-12,1.63676764832963e-10,3.562724323688739e-10,5.296537812682177e-10
abs_gas,0.8542713567839196,8.143066712014091e-12,1.5518868333535787e-10,3.53582923301489e-10,5.169146733488609e-10
abs_gas,0.9045226130653267,6.849587245498653e-12,1.4725179313120106e-10,3.50927133204723e-10,5.050285135814227e-10
abs_gas,0.9547738693467337,5.774304976394344e-12,1.3982352737606874e-10,3.4830454067653126e-10,4.939023730289944e-10
abs_gas,1.0050251256281408,4.877541759156588e-12,1.3286500017857918e-10,3.45714633291489e-10,4.834571752292248e-10
abs_gas,1.0552763819095479,4.127498177531666e-12,1.2634066518137343e-10,3.4315690743580904e-10,4.736250707947141e-10
abs_gas,1.105527638190955,3.4985336312760634e-12,1.2021800725925985e-10,3.4063086814552516e-10,4.643474090360611e-10
abs_gas,1.155778894472362,2.9698586622089238e-12,1.144672640227645e-10,3.381360289477804e-10,4.5557315163275375e-10
abs_gas,1.206030150753769,2.5245318494893103e-12,1.0906117415394298e-10,3.356719117051567e-10,4.47257617708589e-10
abs_gas,1.256281407035176,2.1486839459297737e-12,1.0397474990470477e-10,3.3323804646298824e-10,4.3936148031362273e-10
abs_gas,1.306532663316583,1.8309131245916035e-12,9.918507135979313e-11,3.3083397129959704e-10,4.3184995578398174e-10
abs_gas,1.35678391959799,1.5618101868387568e-12,9.467110031026454e-11,3.284592321793951e-10,4.246921426764984e-10
abs_gas,1.407035175879397,1.3335832852243106e-12,9.041351180179384e-11,3.261133828087955e-10,4.1786047789581373e-10
abs_gas,1.4572864321608041,1.1397594353484419e-12,8.639454161803477e-11,3.2379598449487747e-10,4.1133028554826063e-10
abs_gas,1.5075376884422111,9.749457123847201e-13,8.259784813496423e-11,3.215066060067502e-10,4.0507939985409917e-10
abs_gas,1.5577889447236182,8.346371569009897e-13,7.900838713974618e-11,3.192448234395644e-10,3.9908784773621155e-10
abs_gas,1.6080402010050252,7.150614724402366e-13,7.561229834905583e-11,3.1701022008111646e-10,3.9333757990261254e-10
abs_gas,1.6582914572864322,6.130528799102888e-13,7.239680248870614e-11,3.1480238628099657e-10,3.878122416496131e-10
abs_gas,1.7085427135678393,5.25949210675532e-13,6.935010791032021e-11,3.1262091932222957e-10,3.8249697644322533e-10
abs_gas,1.7587939698492463,4.515076210053938e-13,6.646132582305282e-11,3.1046542329536e-10,3.773782567394182e-10
abs_gas,1.8090452261306533,3.8783530297762913e-13,6.372039331019313e-11,3.0833550897493286e-10,3.7244373758810364e-10
abs_gas,1.8592964824120604,3.3333232925662825e-13,6.111800338295527e-11,3.062307936983231e-10,3.67682129410535e-10
abs_gas,1.9095477386934674,2.866443585294513e-13,5.864554139785992e-11,3.041509012468682e-10,3.6308308700325757e-10
abs_gas,1.9597989949748744,2.466233868667694e-13,5.6295027230689927e-11,3.0209546172925774e-10,3.586371123468145e-10
