model,nh,f1,f2,f3,f
abs_pl,0.0,1.0989973941280665e-13,1.1017555928815331e-13,4.904475741830691e-13,7.10522872884029e-13
abs_pl,0.05025125628140704,7.440559616890994e-14,1.0419891613942708e-13,4.883835407139996e-13,6.669880530223366e-13
abs_pl,0.10050251256281408,5.347825147672507e-14,9.86251610570833e-14,4.863400691265217e-13,6.384434816603301e-13
abs_pl,0.15075376884422112,3.9900403578754994e-14,9.342235215655649e-14,4.843168683136517e-13,6.176396240489632e-13
abs_pl,0.20100502512562815,3.051841124109908e-14,8.856136445750349e-14,4.82313651905485e-13,6.013934276040876e-13
abs_pl,0.2512562814070352,2.3760366974474734e-14,8.401562399137406e-14,4.803301381862253e-13,5.881061291520742e-13
abs_pl,0.30150753768844224,1.875030532188118e-14,7.976086815588313e-14,4.783660500127356e-13,5.768772234904999e-13
abs_pl,0.35175879396984927,1.4956800900688292e-14,7.577492964410998e-14,4.764211147345823e-13,5.671528452793806e-13
abs_pl,0.4020100502512563,1.2037023676626502e-14,7.203754155417929e-14,4.744950641155458e-13,5.585696293463516e-13
abs_pl,0.45226130653266333,9.759796003900196e-15,6.853016153424845e-14,4.72587634256566e-13,5.508775917947148e-13
abs_pl,0.5025125628140704,7.964031353729783e-15,6.523581303999484e-14,4.706985655201009e-13,5.438984099138256e-13
abs_pl,0.5527638190954774,6.5346071754176494e-15,6.213894198078369e-14,4.688276024558666e-13,5.375011516120678e-13
abs_pl,0.6030150753768845,5.387560775502465e-15,5.922528720871543e-14,4.669744937279349e-13,5.315873417121528e-13
abs_pl,0.6532663316582915,4.4606121196621294e-15,5.648176346404045e-14,4.651389920431641e-13,5.260813676268666e-13
abs_pl,0.7035175879396985,3.7068932062757285e-15,5.38963555329893e-14,4.633208540809347e-13,5.209241028201997e-13
abs_pl,0.7537688442211056,3.090688218350608e-15,5.145802250167951e-14,4.615198404241681e-13,5.160685511441982e-13
abs_pl,0.8040201005025126,2.5844761963631694e-15,4.9156611104017836e-14,4.597357154916023e-13,5.114768027919833e-13
abs_pl,0.8542713567839196,2.1668399360951858e-15,4.6982777263837456e-14,4.579682474713022e-13,5.071178646712349e-13
abs_pl,0.9045226130653267,1.8209636785266244e-15,4.492791502316157e-14,4.562172082553809e-13,5.029660869570691e-13
abs_pl,0.9547738693467337,1.533538516602338e-15,4.298409213059668e-14,4.5448237337590756e-13,4.990000040231066e-13
abs_pl,1.0050251256281408,1.293954726165207e-15,4.1143991637441916e-14,4.527635219419832e-13,4.952014683055903e-13
abs_pl,1.0552763819095479,1.0936989253937597e-15,3.940085891505464e-14,4.5106043657795756e-13,4.915549944184061e-13
abs_pl,1.105527638190955,9.258993538415002e-16,3.7748453566142586e-14,4.4937290336277044e-13,4.880472562827546e-13
abs_pl,1.155778894472362,7.849795305273652e-16,3.6181005755677786e-14,4.477007117703926e-13,4.846666970565977e-13
abs_pl,1.206030150753769,6.663920781446777e-16,3.4693176534688607e-14,4.460436546113473e-13,4.814032232241806e-13
abs_pl,1.256281407035176,5.664124456086913e-16,3.3280021772857354e-14,4.444015279752928e-13,4.782479621937588e-13
abs_pl,1.306532663316583,4.819778086699913e-16,3.1936959354145193e-14,4.427741311746436e-13,4.751930683374588e-13
abs_pl,1.35678391959799,4.1056034780743886e-16,3.065973932403913e-14,4.411612666892139e-13,4.722315663610604e-13
abs_pl,1.407035175879397,3.5006690223465273e-16,2.944441670788015e-14,4.3956274011186076e-13,4.693572237219755e-13
abs_pl,1.4572864321608041,2.98759019016412e-16,2.8287326747449876e-14,4.379783600951123e-13,4.665644458615786e-13
abs_pl,1.5075376884422111,2.551888880125889e-16,2.7185062327894782e-14,4.36407938298758e-13,4.638481895146654e-13
abs_pl,1.5577889447236182,2.181477352830485e-16,2.6134453389443556e-14,4.348512893383866e-13,4.612038904631132e-13
abs_pl,1.6080402010050252,1.8662404981310182e-16,2.513254813848632e-14,4.3330823073485206e-13,4.586274029231514e-13
abs_pl,1.6582914572864322,1.597696181600873e-16,2.4176595890668787e-14,4.3177858286465094e-13,4.561149483734799e-13
abs_pl,1.7085427135678393,1.3687179351620422e-16,2.3264031394918594e-14,4.30262168911194e-13,4.536630720996289e-13
abs_pl,1.7587939698492463,1.1733076874234744e-16,2.2392460501953502e-14,4.2875881481695506e-13,4.512686060876508e-13
abs_pl,1.8090452261306533,1.0064088524085283e-16,2.1559647053988803e-14,4.272683492364803e-13,4.489286371757099e-13
abs_pl,1.8592964824120604,8.637521148839842e-17,2.0763500884214684e-14,4.2579060349024416e-13,4.4664047958594725e-13
abs_pl,1.9095477386934674,7.417278155493476e-17,2.0002066825288278e-14,4.2432541151933285e-13,4.4440165112617606e-13
abs_pl,1.9597989949748744,6.372800597797446e-17,1.9273514635699513e-14,4.2287260984094213e-13,4.4220985248261964e-13
abs_pl,2.0100502512562817,5.4781863098591325e-17,1.8576129761533095e-14,4.2143203750467426e-13,4.400629491293059e-13
abs_pl,2.0603015075376887,4.7114554490616806e-17,1.79083048589578e-14,4.200035360496175e-13,4.379589554630659e-13
abs_pl,2.1105527638190957,4.0539368013401874e-17,1.726853200981453e-14,4.1858694946219577e-13,4.3589602084002375e-13
abs_pl,2.1608040201005028,3.489753976408988e-17,1.6655395569025538e-14,4.171821241347728e-13,4.338724172435624e-13
abs_pl,2.21105527638191,3.0053944444541085e-17,1.6067565588276647e-14,4.157889088249961e-13,4.3188652835771736e-13
abs_pl,2.261306532663317,2.5893474420654616e-17,1.5503791765596308e-14,4.144071546158696e-13,4.299368398558865e-13
abs_pl,2.311557788944724,2.2317992603612605e-17,1.4962897875124952e-14,4.1303671487653806e-13,4.280219307442667e-13
abs_pl,2.361809045226131,1.9243764438254164e-17,1.4443776635586072e-14,4.1167744522377353e-13,4.261404656237978e-13
abs_pl,2.412060301507538,1.6599290690973235e-17,1.3945384979781516e-14,4.103292034841464e-13,4.2429118775461894e-13
abs_pl,2.462311557788945,1.432347613132895e-17,1.3466739690878864e-14,4.0899184965687415e-13,4.2247291282388436e-13
abs_pl,2.512562814070352,1.2364080183659676e-17,1.3006913374373842e-14,4.0766524587732905e-13,4.206845233318865e-13
abs_pl,2.562814070351759,1.067640465127394e-17,1.2565030737428986e-14,4.0634925638119765e-13,4.189249635232779e-13
abs_pl,2.613065326633166,9.222181055324792e-18,1.214026514984023e-14,4.05043747469277e-13,4.1719323480017256e-13
abs_pl,2.663316582914573,7.968626278196794e-18,1.1731835463192072e-14,4.0374858747289677e-13,4.1548839156236705e-13
abs_pl,2.71356783919598,6.887640293824517e-18,1.1339003066853314e-14,4.024636467199558e-13,4.138095374271029e-13
abs_pl,2.763819095477387,5.9551239954866385e-18,1.0961069161360154e-14,4.011887975015614e-13,4.1215582178691707e-13
abs_pl,2.814070351758794,5.150398649464242e-18,1.0597372231451356e-14,3.9992391403926095e-13,4.105264366693618e-13
abs_pl,2.864321608040201,4.455711435626356e-18,1.0247285702577638e-14,3.9866887245285337e-13,4.0892061386686657e-13
abs_pl,2.9145728643216082,3.8558139853739865e-18,9.910215766120757e-15,3.9742355072877143e-13,4.073376223088776e-13
abs_pl,2.9648241206030153,3.3376028766256026e-18,9.585599359840442e-15,3.961878286890239e-13,4.0577676565174096e-13
abs_pl,3.0150753768844223,2.8898127628029673e-18,9.272902291232009e-15,3.949615879606857e-13,4.042373800646806e-13
abs_pl,3.0653266331658293,2.5027542540452112e-18,8.971617492535564e-15,3.9374471194592903e-13,4.0271883219271863e-13
abs_pl,3.1155778894472363,2.168089880229065e-18,8.68126339709944e-15,3.925370857925818e-13,4.012205172795615e-13
abs_pl,3.1658291457286434,1.8786424848499693e-18,8.401382427674777e-15,3.913385963652072e-13,3.997418574353669e-13
abs_pl,3.2160804020100504,1.6282312578998627e-18,8.131539588013689e-15,3.901491322166921e-13,3.982823000359637e-13
abs_pl,3.2663316582914574,1.4115313406625047e-18,7.871321149867373e-15,3.889685835603363e-13,3.9684131624154436e-13
abs_pl,3.3165829145728645,1.223953547519506e-18,7.620333428139686e-15,3.8779684224243357e-13,3.9541839962412076e-13
abs_pl,3.3668341708542715,1.0615412674691853e-18,7.378201637552207e-15,3.866338017153338e-13,3.9401306489415347e-13
abs_pl,3.4170854271356785,9.208820461563686e-19,7.144568824724191e-15,3.854793570109807e-13,3.92624846717751e-13
abs_pl,3.4673366834170856,7.990317203649707e-19,6.919094870069794e-15,3.843334047149115e-13,3.9125329861670164e-13
abs_pl,3.5175879396984926,6.934492916533575e-19,6.701455554370323e-15,3.831958429407157e-13,3.898979919443777e-13
abs_pl,3.5678391959798996,6.019409929257817e-19,6.4913416852948825e-15,3.8206657130493957e-13,3.885585149312274e-13
abs_pl,3.6180904522613067,5.226122286235878e-19,6.288458279522289e-15,3.809454909024316e-13,3.8723447179418244e-13
abs_pl,3.6683417085427137,4.538262620976397e-19,6.092523796463879e-15,3.798325042821188e-13,3.8592548190484474e-13
abs_pl,3.7185929648241207,3.9416868781187837e-19,5.903269419903931e-15,3.7872751542320784e-13,3.846311790117996e-13
abs_pl,3.7688442211055277,3.4241686572614364e-19,5.720438384164238e-15,3.7763042971180047e-13,3.833512105128304e-13
abs_pl,3.819095477386935,2.9751361422295864e-19,5.5437853416647846e-15,3.7654115391791925e-13,3.8208523677319826e-13
abs_pl,3.869346733668342,2.5854455940801786e-19,5.3730757689953566e-15,3.754595961729327e-13,3.808329304864875e-13
abs_pl,3.919597989949749,2.24718625172021e-19,5.208085408835388e-15,3.7438566594737497e-13,3.7959397607483555e-13
abs_pl,3.969849246231156,1.9535122228851462e-19,5.048599745263414e-15,3.733192740291515e-13,3.783680691256372e-13
abs_pl,4.020100502512563,1.6984975793137645e-19,4.894413510184354e-15,3.7226033250212457e-13,3.7715491586206684e-13
abs_pl,4.07035175879397,1.4770114093016816e-19,4.745330218774556e-15,3.7120875472507056e-13,3.7595423264498603e-13
abs_pl,4.120603015075377,1.2846100420137896e-19,4.6011617320019725e-15,3.701644553110036e-13,3.747657455040097e-13
abs_pl,4.170854271356784,1.1174440525247033e-19,4.461727844423568e-15,3.6912735010685806e-13,3.735891896956869e-13
abs_pl,4.2211055276381915,9.721779943339923e-20,4.326855895594892e-15,3.6809735617352376e-13,3.7242430928691815e-13
abs_pl,4.2713567839195985,8.45921095397443e-20,4.196380403549078e-15,3.6707439176622655e-13,3.7127085676188513e-13
abs_pl,4.3216080402010055,7.361674016088432e-20,4.0701427189149556e-15,3.6605837631524967e-13,3.701285926509048e-13
abs_pl,4.371859296482413,6.407440641864021e-20,3.947990698347396e-15,3.6504923040698846e-13,3.6899728517974227e-13
abs_pl,4.42211055276382,5.577666496973733e-20,3.829778396038386e-15,3.6404687576533226e-13,3.6787670993803566e-13
abs_pl,4.472361809045227,4.8560050786785487e-20,3.715365772165153e-15,3.6305123523336847e-13,3.667666495655844e-13
abs_pl,4.522613065326634,4.228273666023538e-20,3.60461841721255e-15,3.6206223275540253e-13,3.6566689345535176e-13
abs_pl,4.572864321608041,3.6821643896213254e-20,3.4974072911816914e-15,3.6107979335928736e-13,3.6457723747211296e-13
abs_pl,4.623115577889448,3.206994259395203e-20,3.3936084767656973e-15,3.6010384313905825e-13,3.634974836857665e-13
abs_pl,4.673366834170855,2.793488840381598e-20,3.293102945637045e-15,3.5913430923786606e-13,3.624274401183915e-13
abs_pl,4.723618090452262,2.4335949991016377e-20,3.195776337049865e-15,3.5817111983120414e-13,3.61366920504204e-13
abs_pl,4.773869346733669,2.1203187730647892e-20,3.101518748014868e-15,3.5721420411042394e-13,3.6031574406162655e-13
abs_pl,4.824120603015076,1.8475849581754044e-20,3.0102245343548264e-15,3.562634922665334e-13,3.5927373527673787e-13
abs_pl,4.874371859296483,1.6101154755980345e-20,2.921792121995105e-15,3.553189154742734e-13,3.582407236974233e-13
abs_pl,4.92462311557789,1.4033239816365597e-20,2.836123827886807e-15,3.5438040587646705e-13,3.5721654373759364e-13
abs_pl,4.974874371859297,1.2232245305107167e-20,2.7531256899999635e-15,3.5344789656863734e-13,3.5620103449088256e-13
abs_pl,5.025125628140704,1.0663523983848052e-20,2.6727073058612173e-15,3.52521321583888e-13,3.551940395532732e-13
abs_pl,5.075376884422111,9.296954343173835e-21,2.5947816791447746e-15,3.5160061587804284e-13,3.5419540685414196e-13
abs_pl,5.125628140703518,8.106345257067038e-21,2.5192650738571438e-15,3.506857153150387e-13,3.532049884952411e-13
abs_pl,5.175879396984925,7.06891957239059e-21,2.4460768756858016e-15,3.4977655665256784e-13,3.5222264059717323e-13
abs_pl,5.226130653266332,6.164866075431626e-21,2.3751394601093403e-15,3.488730775279658e-13,3.512482231529412e-13
abs_pl,5.276381909547739,5.376950703532598e-21,2.3063780668921225e-15,3.479752164443384e-13,3.502815998881813e-13
abs_pl,5.326633165829146,4.690179101151854e-21,2.239720680610232e-15,3.4708291275692625e-13,3.493226381277156e-13
abs_pl,5.376884422110553,4.091503683222616e-21,2.175097916877516e-15,3.4619610665970003e-13,3.483712086680812e-13
abs_pl,5.42713567839196,3.56956928755047e-21,2.112442913961064e-15,3.4531473917218436e-13,3.474271856557147e-13
abs_pl,5.477386934673367,3.114492292104985e-21,2.0516912294945967e-15,3.4443875212650473e-13,3.4649044647049164e-13
abs_pl,5.527638190954774,2.717668759549943e-21,1.9927807420160144e-15,3.4356808815465466e-13,3.4556087161433945e-13
abs_pl,5.577889447236181,2.3716077649680707e-21,1.9356515570719683e-15,3.4270269067597797e-13,3.446383446046577e-13
abs_pl,5.628140703517588,2.0697865761714627e-21,1.8802459176478216e-15,3.418425038848637e-13,3.4372275187229807e-13
abs_pl,5.678391959798995,1.8065248001933905e-21,1.826508118695774e-15,3.409874727386483e-13,3.4281398266386887e-13
abs_pl,5.728643216080402,1.5768749939640558e-21,1.7743844255474214e-15,3.40137542945723e-13,3.4191192894814544e-13
abs_pl,5.778894472361809,1.3765275699147923e-21,1.7238229960096352e-15,3.392926609538414e-13,3.410164853263786e-13
abs_pl,5.8291457286432165,1.2017281153463255e-21,1.674773805954374e-15,3.384527739386246e-13,3.4012754894630714e-13
abs_pl,5.8793969849246235,1.0492054938890246e-21,1.6271885782240713e-15,3.3761782979226e-13,3.3924501941968964e-13
abs_pl,5.9296482412060305,9.161093134980912e-22,1.5810207146845261e-15,3.367877771123898e-13,3.3836879874318364e-13
abs_pl,5.9798994974874375,7.999555326729319e-22,1.5362252312668274e-15,3.3596256519118697e-13,3.3749879122240937e-13
abs_pl,6.030150753768845,6.985791388602009e-22,1.4927586958488834e-15,3.3514214400461487e-13,3.366349033990429e-13
abs_pl,6.080402010050252,6.1009297365650745e-22,1.4505791688355596e-15,3.3432646420186633e-13,3.3577704398079487e-13
abs_pl,6.130653266331659,5.3285190137469425e-22,1.4096461463043192e-15,3.335154770949805e-13,3.349251237741367e-13
abs_pl,6.180904522613066,4.654216232876519e-22,1.3699205055906966e-15,3.3270913464863367e-13,3.3407905561964605e-13
abs_pl,6.231155778894473,4.065515315862464e-22,1.3313644531948837e-15,3.3190738947010077e-13,3.3323875432984717e-13
abs_pl,6.28140703517588,3.551510766597846e-22,1.2939414748972158e-15,3.311101947993842e-13,3.3240413662943243e-13
abs_pl,6.331658291457287,3.102691903520396e-22,1.2576162879764809e-15,3.3031750449950854e-13,3.315751210977542e-13
abs_pl,6.381909547738694,2.710763677673477e-22,1.2223547954307373e-15,3.295292730469768e-13,3.3075162811348395e-13
abs_pl,6.432160804020101,2.3684906221510665e-22,1.1881240421056921e-15,3.287454555223855e-13,3.299335798013402e-13
abs_pl,6.482412060301508,2.0695609303911234e-22,1.1548921726408053e-15,3.27966007601196e-13,3.2912089998079287e-13
abs_pl,6.532663316582915,1.8084680529126117e-22,1.1226283911480452e-15,3.2719088554466014e-13,3.2831351411665494e-13
