model,nh,f1,f2,f3,f
abs_pl,0.0,6.481556146252669e-13,4.8068783533629556e-14,1.5281645828859955e-14,7.115060439877565e-13
abs_pl,0.05025125628140704,3.407196091699693e-13,4.478930012144296e-14,1.5128136975713243e-14,4.006370462671254e-13
abs_pl,0.10050251256281408,2.011052410905142e-13,4.1771949764047043e-14,1.497680047227565e-14,2.5785399132683684e-13
abs_pl,0.15075376884422112,1.2897152596601377e-13,3.89934975006186e-14,1.4827600987280783e-14,1.8279262445391314e-13
abs_pl,0.20100502512562815,8.756936722241661e-14,3.6432908473753695e-14,1.4680503808000187e-14,1.3868277950417053e-13
abs_pl,0.2512562814070352,6.187201815088143e-14,3.407113031400972e-14,1.453547482890167e-14,1.1047862329379282e-13
abs_pl,0.30150753768844224,4.5000222606397916e-14,3.189089771054682e-14,1.4392480540522444e-14,9.128360085746718e-14
abs_pl,0.35175879396984927,3.3462237718990136e-14,2.9876556855688925e-14,1.4251488018552714e-14,7.759028259323177e-14
abs_pl,0.4020100502512563,2.532694859912895e-14,2.8013907696227776e-14,1.4112464913125796e-14,6.745332120848254e-14
abs_pl,0.45226130653266333,1.9452093393605812e-14,2.6290062142999078e-14,1.3975379438310692e-14,5.971753497491558e-14
abs_pl,0.5025125628140704,1.512635431428656e-14,2.4693316585516784e-14,1.3840200361803192e-14,5.3659871261606534e-14
abs_pl,0.5527638190954774,1.1888904607299782e-14,2.321303723280335e-14,1.3706896994811715e-14,4.880883883491485e-14
abs_pl,0.6030150753768845,9.431779641553447e-15,2.1839556957260636e-14,1.3575439182134096e-14,4.484677578094818e-14
abs_pl,0.6532663316582915,7.543940756922738e-15,2.0564082457505956e-14,1.3445797292421568e-14,4.155382050685026e-14
abs_pl,0.7035175879396985,6.077719366837196e-15,1.9378610680344706e-14,1.3317942208626454e-14,3.877427225580836e-14
abs_pl,0.7537688442211056,4.927929529954268e-15,1.827585355306623e-14,1.3191845318629893e-14,3.639562840165039e-14
abs_pl,0.8040201005025126,4.018469688626495e-15,1.7249170176458185e-14,1.3067478506046178e-14,3.4335118371130856e-14
abs_pl,0.8542713567839196,3.2935119593282473e-15,1.629250571760833e-14,1.2944814141200308e-14,3.253083181813689e-14
abs_pl,0.9045226130653267,2.7115853487268613e-15,1.5400336320832682e-14,1.2823825072275365e-14,3.093574674183491e-14
abs_pl,0.9547738693467337,2.24152998191307e-15,1.456761942594625e-14,1.2704484616626503e-14,2.951363402448582e-14
abs_pl,1.0050251256281408,1.8596865521359706e-15,1.378974894647676e-14,1.2586766552258261e-14,2.8236202050870993e-14
abs_pl,1.0552763819095479,1.5479161006019532e-15,1.306251481711499e-14,1.247064510946212e-14,2.7081076027179062e-14
abs_pl,1.105527638190955,1.292186857888181e-15,1.238206647041424e-14,1.2356094962611177e-14,2.60303482909136e-14
abs_pl,1.155778894472362,1.0815538490041535e-15,1.1744879848133693e-14,1.2243091222108907e-14,2.5069524919246752e-14
abs_pl,1.206030150753769,9.07414025556127e-16,1.1147727593235389e-14,1.2131609426489077e-14,2.4186751045280594e-14
abs_pl,1.256281407035176,7.629569507667557e-16,1.0587652104900797e-14,1.2021625534663873e-14,2.3372234590331428e-14
abs_pl,1.306532663316583,6.4275578533582675e-16,1.006194117148279e-14,1.1913115918317387e-14,2.2617812875136005e-14
abs_pl,1.35678391959799,5.424599575293907e-16,9.568105925457438e-15,1.18060573544417e-14,2.1916623237428527e-14
abs_pl,1.407035175879397,4.585622375930837e-16,9.103860890547991e-15,1.1700427018012775e-14,2.126285014615385e-14
abs_pl,1.4572864321608041,3.882207519165815e-16,8.667105914582756e-15,1.1596202474803506e-14,2.0651529141302846e-14
abs_pl,1.5075376884422111,3.2912191752033275e-16,8.255909802607276e-15,1.1493361674331286e-14,2.00783933944589e-14
abs_pl,1.5577889447236182,2.793741087342114e-16,7.868495483555742e-15,1.1391882942937482e-14,1.9539752535227437e-14
abs_pl,1.6080402010050252,2.3742458871590694e-16,7.503226560626306e-15,1.1291744976996313e-14,1.903239612633853e-14
abs_pl,1.6582914572864322,2.019941875694174e-16,7.158595110604839e-15,1.1192926836250638e-14,1.8553516134424894e-14
abs_pl,1.7085427135678393,1.7202561682444134e-16,6.833210610924468e-15,1.1095407937272221e-14,1.8100644165021132e-14
abs_pl,1.7587939698492463,1.4664233532711917e-16,6.525789885397426e-15,1.0999168047044086e-14,1.767160026776863e-14
abs_pl,1.8090452261306533,1.251156339891439e-16,6.235147970457442e-15,1.0904187276662607e-14,1.7264450881109193e-14
