Be_star,Type,RA,DEC,Xcat,Xidentifier,Gamma,e_Gamma,E_Gamma,Fb,e_Fb,E_Fb,Fs,e_Fs,E_Fs,Fm,e_Fm,E_Fm,Fh,e_Fh,E_Fh,HRms,e_HRms,E_HRms,HRhm,e_HRhm,E_HRhm,DR3Name,Plx,RPlx,PM,e_PM,epsi,sepsi,RUWE,G,e_G,BP,e_BP,RP,e_RP,Teff,Gflux,e_Gflux,E_Gflux,dist,e_dist,E_dist,J,e_J,H,e_H,K,e_K,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Vsini,Vtran,e_Vtran,E_Vtran,LX,e_LX,E_LX,fX2O,e_fX2O,E_fX2O,match_flag,Class,ref
RX J0048.5-7302,Be,12.14218199,-73.04203573,XMM,J004834.1-730232,0.7,1.0,0.8,1.2e-14,3e-15,3e-15,4e-16,3e-16,3e-16,1.9e-15,4e-16,4e-16,1e-14,3e-15,3e-15,0.6,0.2,0.2,0.7,0.3,0.3,Gaia DR3 4685949198438263040,-0.0328,-1.16,1.45,0.03,0.235,15.97,0.993,14.784,0.003,14.784,0.005,14.668,0.006,31470.0,1.236e-11,4e-14,4e-14,,,,14.7,0.05,14.62,0.05,14.44,0.08,14.12,0.03,13.83,0.03,12.78,,9.34,,,,,,,,,0.001,0.0002,0.0002,0,HMXB,1
RX J0049.2-7311,Be,12.30678073,-73.19385823,CXO,J004913.5-731137,1.2,0.1,0.1,2.27e-13,8e-15,8e-15,6.1e-15,1e-15,1e-15,2.1e-14,1e-15,1e-15,1.99e-13,8e-15,8e-15,0.55,0.07,0.07,0.81,0.05,0.05,Gaia DR3 4685944907831053184,0.0056,0.15,1.34,0.04,0.0,0.0,0.992,16.404,0.003,16.493,0.006,16.216,0.005,30096.0,2.779e-12,7e-15,7e-15,,,,16.11,0.09,15.9,0.2,15.88,,15.19,0.01,15.16,0.02,,,,,,,,,,,,0.082,0.003,0.003,0,HMXB,1
RX J0049.5-7310,Be,12.37421201,-73.18292106,CXO,J004929.7-731058,0.9,0.1,0.1,3.4e-13,1e-14,1e-14,7e-15,1e-15,1e-15,2.7e-14,2e-15,2e-15,3.1e-13,1e-14,1e-14,0.61,0.08,0.08,0.84,0.05,0.05,Gaia DR3 4685944942190772224,-0.0047,-0.04,1.7,0.1,1.32,143.8,3.31,16.202,0.003,16.222,0.005,15.95,0.006,19987.0,3.35e-12,1e-14,1e-14,,,,15.6,0.1,15.3,0.1,15.0,0.2,14.53,0.01,14.39,0.01,,,,,,,,,,,,0.102,0.004,0.004,0,HMXB,1
RX J0049.7-7323,B2Ve,12.42504076,-73.38741548,CXO,J004942.0-732314,2.0,0.2,0.3,3.7e-14,3e-15,3e-15,2e-15,4e-16,4e-16,6.3e-15,6e-16,6e-16,2.8e-14,3e-15,3e-15,0.5,0.1,0.1,0.63,0.09,0.09,Gaia DR3 4685927315640017792,-0.0301,-1.51,1.32,0.02,0.09,2.317,1.035,14.797,0.004,14.841,0.008,14.65,0.01,32368.0,1.222e-11,5e-14,5e-14,,,,14.55,0.04,14.48,0.06,14.3,0.07,13.73,0.03,13.58,0.03,12.85,,9.25,,,,,,,,,0.003,0.0002,0.0002,0,HMXB,1
DZ Tuc,Be,12.68629359,-73.26818073,CXO,J005044.6-731605,0.89,0.06,0.07,4.1e-13,1e-14,1e-14,1.6e-14,1e-15,1e-15,3.8e-14,2e-15,2e-15,3.56e-13,1e-14,1e-14,0.4,0.04,0.04,0.81,0.03,0.03,Gaia DR3 4685928999266932864,-0.0248,-1.01,1.45,0.03,0.064,0.7221,0.987,15.346,0.004,15.346,0.007,15.292,0.008,29222.0,7.37e-12,2e-14,2e-14,,,,15.3,0.05,15.3,0.1,14.8,0.1,14.59,0.03,14.37,0.04,12.76,,9.19,,,,,,,,,0.056,0.001,0.001,0,HMXB,1
SMC 25,Be,12.96678092,-73.17615542,CXO,J005152.0-731034,1.05,0.05,0.05,5.8e-13,2e-14,2e-14,7.2e-14,5e-15,5e-15,6.8e-14,4e-15,4e-15,4.4e-13,2e-14,2e-14,-0.02,0.05,0.05,0.73,0.05,0.05,Gaia DR3 4685938413838450688,-0.0247,-1.39,1.38,0.02,0.11,5.039,1.037,14.335,0.003,14.318,0.003,14.295,0.004,37563.0,1.869e-11,5e-14,5e-14,,,,14.43,0.03,14.45,0.05,14.17,0.07,13.73,0.03,13.56,0.03,12.46,,9.48,,,,,,,,,0.031,0.001,0.001,0,HMXB,1
2E 0050.1-7247,Be,12.97140907,-72.53020645,CXO,J005153.0-723148,1.4,0.3,0.3,2.9e-14,3e-15,3e-15,2.2e-15,8e-16,8e-16,4.3e-15,7e-16,6e-16,2.3e-14,3e-15,3e-15,0.3,0.2,0.2,0.7,0.1,0.1,Gaia DR3 4688984061034529408,0.0078,0.25,1.48,0.04,0.282,22.63,1.279,14.862,0.006,14.72,0.01,14.97,0.02,29611.0,1.15e-11,6e-14,6e-14,,,,14.47,0.03,14.26,0.04,14.26,0.06,14.33,0.03,14.26,0.04,12.92,,8.5,0.3,,,,,,,,0.0026,0.0003,0.0003,0,HMXB,1
X SMC X-3,O9IVe,13.02344958,-72.43451357,CXO,J005205.6-722603,0.77,0.03,0.03,6e-15,2e-15,2e-15,1.3e-15,6e-16,6e-16,7e-16,4e-16,3e-16,4e-15,2e-15,2e-15,-0.3,0.4,0.4,0.7,0.6,0.6,Gaia DR3 4688985847741087744,-0.0401,-1.94,1.48,0.03,0.105,3.188,1.029,14.811,0.003,14.806,0.005,14.745,0.01,19947.0,1.206e-11,3e-14,3e-14,,,,14.82,0.03,14.61,0.05,14.45,0.08,14.38,0.03,14.25,0.04,12.9,0.5,9.23,,,,,,,,,0.0005,0.0002,0.0002,0,HMXB,1
2E 0050.4-7335,Be,13.05832549,-73.32189778,CXO,J005214.0-731918,1.39,0.02,0.03,1.1e-15,4e-16,1e-15,6e-16,3e-16,3e-16,4e-16,2e-16,2e-16,1e-20,1e-20,8.9169e-16,-0.2,0.4,0.4,-1.0,2.1,2.1,Gaia DR3 4685885980866646656,-0.0646,-3.8,1.36,0.02,0.0,0.0,0.916,14.57,0.003,14.612,0.008,14.446,0.005,37632.0,1.506e-11,5e-14,5e-14,,,,14.4,0.03,14.25,0.05,14.11,0.06,13.64,0.03,13.41,0.03,12.4,0.4,8.98,,,,,,,,,7e-05,3e-05,6e-05,0,HMXB,1
2E 0051.1-7214,Be,13.2302835,-71.96841874,XMM,J005255.3-715807,0.9,0.2,0.2,1.27e-12,2e-14,2e-14,7.6e-14,2e-15,2e-15,1.13e-13,2e-15,2e-15,1.08e-12,2e-14,2e-14,0.2,0.02,0.02,0.81,0.02,0.02,Gaia DR3 4689080337014302336,-0.077,-2.95,1.42,0.03,0.0,0.0,0.933,15.466,0.003,15.457,0.006,15.423,0.005,33642.0,6.6e-12,2e-14,2e-14,,,,15.38,0.05,15.16,0.08,15.0,0.1,14.71,0.03,14.56,0.04,12.89,,9.34,,,,,,,,,0.192,0.003,0.003,0,HMXB,1
