model,nh,f1,f2,f3,f
abs_pl,0.0,1.9826395196203343e-13,7.759563438821895e-14,1.1152558668161781e-13,3.8738517303187017e-13
abs_pl,0.05025125628140704,1.2266695758913504e-13,7.297248281019976e-14,1.1081765924102543e-13,3.064570996403602e-13
abs_pl,0.10050251256281408,8.253064447074685e-14,6.868484435070148e-14,1.1011818616784403e-13,2.6133367498929235e-13
abs_pl,0.15075376884422112,5.860797564456285e-14,6.470477302310118e-14,1.0942703956871738e-13,2.3273978823638144e-13
abs_pl,0.20100502512562815,4.3130818384379525e-14,6.10068658998071e-14,1.0874409370083127e-13,2.128817779850179e-13
abs_pl,0.2512562814070352,3.254238961104656e-14,5.756801813136405e-14,1.0806922493348886e-13,1.9817963267589947e-13
abs_pl,0.30150753768844224,2.501294198709519e-14,5.436720248531473e-14,1.0740231171040048e-13,1.867824561828104e-13
abs_pl,0.35175879396984927,1.9506755956456693e-14,5.138527088360998e-14,1.0674323451267431e-13,1.7763526135274096e-13
abs_pl,0.4020100502512563,1.539334165885785e-14,4.8604775681798926e-14,1.060918758224942e-13,1.7008999316315096e-13
abs_pl,0.45226130653266333,1.226770291889121e-14,4.6009808669506636e-14,1.0544812008747202e-13,1.6372563167586986e-13
abs_pl,0.5025125628140704,9.85907544807095e-15,4.358585598286143e-14,1.0481185368566122e-13,1.582567851165936e-13
abs_pl,0.5527638190954774,7.980809453000925e-15,4.131966730826672e-14,1.0418296489121919e-13,1.5348344165248682e-13
abs_pl,0.6030150753768845,6.5010752095491064e-15,3.9199137925635506e-14,1.035613438407059e-13,1.4926155697589052e-13
abs_pl,0.6532663316582915,5.324885204830627e-15,3.721320229006835e-14,1.0294688250000696e-13,1.4548496999490596e-13
abs_pl,0.7035175879396985,4.3826320576039174e-15,3.535173798587175e-14,1.0233947463186884e-13,1.420738446753445e-13
abs_pl,0.7537688442211056,3.622555068117483e-15,3.360547900749354e-14,1.0173901576403464e-13,1.3896704983964566e-13
abs_pl,0.8040201005025126,3.0056645091253564e-15,3.196593742991585e-14,1.0114540315796945e-13,1.3611700509701064e-13
abs_pl,0.8542713567839196,2.502250133624549e-15,3.042533262765524e-14,1.0055853577816329e-13,1.3348611853944308e-13
abs_pl,0.9045226130653267,2.0894363530187815e-15,2.897652728798296e-14,9.997831426200125e-14,1.31044277903003e-13
abs_pl,0.9547738693467337,1.7494434624152868e-15,2.7612969541378573e-14,9.940464089018978e-14,1.2876705389398364e-13
abs_pl,1.0050251256281408,1.4683337302425872e-15,2.6328640601531187e-14,9.883741955772863e-14,1.266343938895024e-13
abs_pl,1.0552763819095479,1.2350957172423735e-15,2.5118007369264348e-14,9.827655574541788e-14,1.246296588319246e-13
abs_pl,1.105527638190955,1.0409678565772712e-15,2.3975979510351973e-14,9.772195649189036e-14,1.2273890385881958e-13
abs_pl,1.155778894472362,8.789334416453663e-16,2.2897870566998857e-14,9.717353036615878e-14,1.2095033437480297e-13
abs_pl,1.206030150753769,7.433398454554973e-16,2.1879362707391543e-14,9.663118744066848e-14,1.1925388999351553e-13
abs_pl,1.256281407035176,6.296087540752143e-16,2.0916474757731408e-14,9.609483926484578e-14,1.176409227766524e-13
abs_pl,1.306532663316583,5.340137525280924e-16,2.0005533197028352e-14,9.556439883913267e-14,1.1610394578868912e-13
abs_pl,1.35678391959799,4.53508226385927e-16,1.9143145827096854e-14,9.503978058949863e-14,1.1463643464298142e-13
abs_pl,1.407035175879397,3.855911884349679e-16,1.832617785904574e-14,9.452090034242047e-14,1.1323266938990117e-13
abs_pl,1.4572864321608041,3.282019331124985e-16,1.7551730183436167e-14,9.400767530032136e-14,1.1188760741687001e-13
abs_pl,1.5075376884422111,2.796367791515387e-16,1.6817119614509928e-14,9.350002401746046e-14,1.1059678041112193e-13
abs_pl,1.5577889447236182,2.384828647113878e-16,1.6119860919740457e-14,9.299786637626444e-14,1.0935621016071627e-13
abs_pl,1.6080402010050252,2.0356520156179175e-16,1.5457650464678918e-14,9.25011235640925e-14,1.0816233923033319e-13
abs_pl,1.6582914572864322,1.7390410837450906e-16,1.482835131988086e-14,9.200971805042703e-14,1.0701197347868241e-13
abs_pl,1.7085427135678393,1.4868082036709813e-16,1.422997969180225e-14,9.152357356448154e-14,1.0590223407665087e-13
abs_pl,1.7587939698492463,1.2720957849957524e-16,1.3660692553125603e-14,9.104261507321802e-14,1.0483051720484319e-13
abs_pl,1.8090452261306533,1.0891488229582769e-16,1.3118776360175692e-14,9.056676875976596e-14,1.0379446000223748e-13
abs_pl,1.8592964824120604,9.331287915442913e-17,1.2602636756051918e-14,9.009596200223597e-14,1.0279191163744231e-13
abs_pl,1.9095477386934674,7.999608351866718e-17,1.2110789167968352e-14,8.963012335291955e-14,1.0182090860440656e-13
abs_pl,1.9597989949748744,6.862078877121646e-17,1.164185021616583e-14,8.916918251786865e-14,1.0087965352280569e-13
abs_pl,2.0100502512562817,5.889666584470236e-17,1.1194529859745497e-14,8.871307033684758e-14,9.996649686243777e-14
abs_pl,2.0603015075376887,5.057814460747875e-17,1.0767624211961076e-14,8.826171876364981e-14,9.907992112021839e-14
abs_pl,2.1105527638190957,4.345725400190864e-17,1.0360008963978787e-14,8.781506084677364e-14,9.821852706475433e-14
abs_pl,2.1608040201005028,3.735765983868872e-17,9.970633361943566e-15,8.737303071044902e-14,9.738102173223128e-14
abs_pl,2.21105527638191,3.212968896249457e-17,9.598514687442192e-15,8.693556353600995e-14,9.656620791241464e-14
abs_pl,2.261306532663317,2.7646168134209945e-17,9.242733196187698e-15,8.650259554360486e-14,9.577297490792677e-14
abs_pl,2.311557788944724,2.3798937655316537e-17,8.902427474017498e-15,8.607406397423962e-14,9.500029038591242e-14
