model,nh,f1,f2,f3,f
abs_pl,0.0,2.9912689034058874e-13,6.40913108393779e-14,5.030763208037366e-14,4.1352583326034037e-13
abs_pl,0.05025125628140704,1.7426713413719795e-13,6.006340975087003e-14,4.991657936635101e-14,2.8424712325441897e-13
abs_pl,0.10050251256281408,1.1193825818902185e-13,5.633953121668414e-14,4.9530567906957476e-14,2.1780835731266349e-13
abs_pl,0.15075376884422112,7.673404521057273e-14,5.2893697446847154e-14,4.9149519049800494e-14,1.7877726170722037e-13
abs_pl,0.20100502512562815,5.4929959981936966e-14,4.9702333323148996e-14,4.877335548715646e-14,1.534056487922424e-13
abs_pl,0.2512562814070352,4.0523477261189264e-14,4.6744032453767874e-14,4.8402001231692184e-14,1.356695109466493e-13
abs_pl,0.30150753768844224,3.056503935080397e-14,4.399934681688693e-14,4.803538159264109e-14,1.2259976776033198e-13
abs_pl,0.35175879396984927,2.345321408711372e-14,4.1450597554776595e-14,4.7673423152425234e-14,1.1257723479431555e-13
abs_pl,0.4020100502512563,1.8247551337473935e-14,3.908170473661585e-14,4.7316053743714785e-14,1.0464530981780457e-13
abs_pl,0.45226130653266333,1.436211643325835e-14,3.6878034137692885e-14,4.6963202426916427e-14,9.820335299786765e-14
abs_pl,0.5025125628140704,1.141529040390929e-14,3.4826259287525316e-14,4.661479946808254e-14,9.285634915951716e-14
abs_pl,0.5527638190954774,9.149944937567788e-15,3.291423722251091e-14,4.627077631723295e-14,8.833495847731164e-14
abs_pl,0.6030150753768845,7.388128437917432e-15,3.113089654231668e-14,4.593106558708148e-14,8.44500905673156e-14
abs_pl,0.6532663316582915,6.003964337014583e-15,2.94661365154325e-14,4.5595601032159454e-14,8.106570188460653e-14
abs_pl,0.7035175879396985,4.906760312457166e-15,2.7910736110024782e-14,4.5264317528328617e-14,7.808181395081055e-14
abs_pl,0.7537688442211056,4.030129549553431e-15,2.6456271943091714e-14,4.4937151052675825e-14,7.542355254532098e-14
abs_pl,0.8040201005025126,3.3247942325285266e-15,2.5095044245429257e-14,4.4614038663782494e-14,7.303387714174028e-14
abs_pl,0.8542713567839196,2.753717768117065e-15,2.3820010033391098e-14,4.429491848236131e-14,7.086864628386947e-14
abs_pl,0.9045226130653267,2.2887492042332226e-15,2.26247227620459e-14,4.397972967225345e-14,6.889320163853258e-14
abs_pl,0.9547738693467337,1.9082716442187305e-15,2.150327780915555e-14,4.366841242177916e-14,6.707996187515344e-14
abs_pl,1.0050251256281408,1.5955300146437482e-15,2.0450263206357266e-14,4.3360907925435174e-14,6.540670114643619e-14
abs_pl,1.0552763819095479,1.3374261772514674e-15,1.9460715093868207e-14,4.3057158365932186e-14,6.385529963705187e-14
abs_pl,1.105527638190955,1.1236402814116037e-15,1.8530077428691915e-14,4.27571068965659e-14,6.241082460666943e-14
abs_pl,1.155778894472362,9.459828790047336e-16,1.7654165524357583e-14,4.2460697623915325e-14,6.106084602727764e-14
abs_pl,1.206030150753769,7.979122431196917e-16,1.682913304326148e-14,4.216787559086207e-14,5.979492087724325e-14
abs_pl,1.256281407035176,6.741712794405759e-16,1.6051442101236774e-14,4.1878586759924455e-14,5.86042001406018e-14
abs_pl,1.306532663316583,5.705119147062637e-16,1.5317836178526597e-14,4.159277799690047e-14,5.748112609013333e-14
abs_pl,1.35678391959799,4.834840978350421e-16,1.462531556229985e-14,4.131039705481375e-14,5.641919671494864e-14
abs_pl,1.407035175879397,4.1027296716381003e-16,1.3971115073608129e-14,4.103139255815664e-14,5.541278059892858e-14
abs_pl,1.4572864321608041,3.485722385897534e-16,1.3352683856572111e-14,4.075571398742486e-14,5.4456970082586724e-14
abs_pl,1.5075376884422111,2.96485058838638e-16,1.2767667029909534e-14,4.048331166393805e-14,5.354746375268622e-14
abs_pl,1.5577889447236182,2.5244584964420263e-16,1.2213889020943222e-14,4.021413673494098e-14,5.2680471605528406e-14
abs_pl,1.6080402010050252,2.1515831553798318e-16,1.168933842019751e-14,3.994814115897976e-14,5.1852637894715247e-14
abs_pl,1.6582914572864322,1.835459870207953e-16,1.1192154210820224e-14,3.9685277691548126e-14,5.106097788938914e-14
abs_pl,1.7085427135678393,1.5671255111792565e-16,1.0720613241547097e-14,3.9425499870998515e-14,5.030282566366354e-14
abs_pl,1.7587939698492463,1.3390987263106578e-16,1.0273118824928436e-14,3.916876200471295e-14,4.9575790702272455e-14
abs_pl,1.8090452261306533,1.1451209502195166e-16,9.848190354217304e-15,3.891501915552865e-14,4.8877721604767915e-14
abs_pl,1.8592964824120604,9.799457462770662e-17,9.444453842812456e-15,3.866422712841385e-14,4.820667554585402e-14
abs_pl,1.9095477386934674,8.391667785473624e-17,9.060633299580125e-15,3.841634245738872e-14,4.756089243482358e-14
abs_pl,1.9597989949748744,7.190768119660952e-17,8.695542861856977e-15,3.817132239268693e-14,4.693877293574052e-14
abs_pl,2.0100502512562817,6.165517510507309e-17,8.348079615560386e-15,3.792912488815335e-14,4.633885967881881e-14
abs_pl,2.0603015075376887,5.2895497135651615e-17,8.0172170386895e-15,3.768970858887319e-14,4.575982112469834e-14
abs_pl,2.1105527638190957,4.540581638072386e-17,7.701999010670639e-15,3.745303281902845e-14,4.5200437646079817e-14
abs_pl,2.1608040201005028,3.8997566650733814e-17,7.401534335553526e-15,3.7219057569977176e-14,4.465958947218143e-14
abs_pl,2.21105527638191,3.351098513001927e-17,7.114991732064269e-15,3.698774348855136e-14,4.413624620574565e-14
abs_pl,2.261306532663317,2.881056003942426e-17,6.8415952480230805e-15,3.67590518655695e-14,4.3629457673632e-14
abs_pl,2.311557788944724,2.47812279926101e-17,6.580620060690714e-15,3.6532944624559427e-14,4.3138345913242745e-14
abs_pl,2.361809045226131,2.1325191370131476e-17,6.331388628262263e-15,3.630938431068781e-14,4.2662098130320206e-14
abs_pl,2.412060301507538,1.8359249784650942e-17,6.09326716102157e-15,3.6088334079892145e-14,4.219996049069837e-14
abs_pl,2.462311557788945,1.5812558824378314e-17,5.8656623836403236e-15,3.5869757688211514e-14,4.175123263067621e-14
abs_pl,2.512562814070352,1.3624744707557946e-17,5.648018562785546e-15,3.565361948131237e-14,4.131526278880547e-14
abs_pl,2.562814070351759,1.174431601035714e-17,5.439814776617234e-15,3.5439884384205673e-14,4.089144347683327e-14
abs_pl,2.613065326633166,1.0127323830980057e-17,5.2405624049404746e-15,3.522851789115171e-14,4.047920761992317e-14
abs_pl,2.663316582914573,8.736230085153197e-18,5.049802820747201e-15,3.501948605574906e-14,4.007802510658142e-14
abs_pl,2.71356783919598,7.538950455887088e-18,4.867105265662895e-15,3.481275548120441e-14,3.9687399697323197e-14
abs_pl,2.763819095477387,6.508044131765017e-18,4.69206489342218e-15,3.4608293310779486e-14,3.930686624833343e-14
abs_pl,2.814070351758794,5.620027092340899e-18,4.524300966951369e-15,3.440606721841212e-14,3.8935988212455835e-14
abs_pl,2.864321608040201,4.854789519940907e-18,4.363455195950903e-15,3.420604539950787e-14,3.857435538497872e-14
abs_pl,2.9145728643216082,4.195101081480296e-18,4.209190203060139e-15,3.400819656189928e-14,3.8221581866040904e-14
abs_pl,2.9648241206030153,3.626190450462074e-18,4.061188107763445e-15,3.381248991696931e-14,3.787730421518322e-14
abs_pl,3.0150753768844223,3.1353876240670356e-18,3.919149218171095e-15,3.3618895170936127e-14,3.7541179776731285e-14
abs_pl,3.0653266331658293,2.711819411044554e-18,3.782790821691107e-15,3.342738251629604e-14,3.7212885157398183e-14
